exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
SNFfUff,0,left_hip_angle,97.48,"(0.508,0.541)",start
SNFfUff,0,left_knee_angle,90.77,"(0.384,0.504)",start
SNFfUff,0,right_hip_angle,90.2,"(0.432,0.512)",start
SNFfUff,0,right_knee_angle,99.01,"(0.256,0.488)",start
SNFfUff,3,left_hip_angle,103.28,"(0.505,0.534)",quarter
SNFfUff,3,left_knee_angle,88.17,"(0.350,0.502)",quarter
SNFfUff,3,right_hip_angle,95.17,"(0.430,0.510)",quarter
SNFfUff,3,right_knee_angle,95.37,"(0.233,0.493)",quarter
SNFfUff,6,left_hip_angle,145.41,"(0.540,0.463)",peak
SNFfUff,6,left_knee_angle,134.34,"(0.423,0.502)",peak
SNFfUff,6,right_hip_angle,128.24,"(0.434,0.424)",peak
SNFfUff,6,right_knee_angle,120.76,"(0.239,0.490)",peak
SNFfUff,9,left_hip_angle,126.16,"(0.475,0.479)",return
SNFfUff,9,left_knee_angle,91.12,"(0.363,0.458)",return
SNFfUff,9,right_hip_angle,123.29,"(0.403,0.458)",return
SNFfUff,9,right_knee_angle,106.98,"(0.228,0.482)",return
SNFfUff,11,left_hip_angle,153.23,"(0.436,0.480)",end
SNFfUff,11,left_knee_angle,103.96,"(0.304,0.519)",end
SNFfUff,11,right_hip_angle,130.17,"(0.365,0.472)",end
SNFfUff,11,right_knee_angle,100.16,"(0.205,0.495)",end
