exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
SP3hUez,0,left_hip_angle,146.16,"(0.473,0.549)",start
SP3hUez,0,left_knee_angle,178.79,"(0.328,0.535)",start
SP3hUez,0,right_hip_angle,179.63,"(0.494,0.583)",start
SP3hUez,0,right_knee_angle,163.56,"(0.366,0.637)",start
SP3hUez,6,left_hip_angle,168.09,"(0.456,0.576)",quarter
SP3hUez,6,left_knee_angle,179.07,"(0.308,0.608)",quarter
SP3hUez,6,right_hip_angle,178.53,"(0.463,0.589)",quarter
SP3hUez,6,right_knee_angle,163.98,"(0.320,0.641)",quarter
SP3hUez,12,left_hip_angle,153.62,"(0.455,0.574)",peak
SP3hUez,12,left_knee_angle,168.59,"(0.310,0.593)",peak
SP3hUez,12,right_hip_angle,170.34,"(0.469,0.590)",peak
SP3hUez,12,right_knee_angle,176.74,"(0.314,0.616)",peak
SP3hUez,18,left_hip_angle,168.48,"(0.446,0.570)",return
SP3hUez,18,left_knee_angle,167.92,"(0.307,0.610)",return
SP3hUez,18,right_hip_angle,178.83,"(0.469,0.594)",return
SP3hUez,18,right_knee_angle,163.86,"(0.324,0.639)",return
SP3hUez,23,left_hip_angle,160.64,"(0.449,0.551)",end
SP3hUez,23,left_knee_angle,160.63,"(0.306,0.572)",end
SP3hUez,23,right_hip_angle,176.66,"(0.469,0.594)",end
SP3hUez,23,right_knee_angle,166.32,"(0.329,0.635)",end
