exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
T0yTjgW,0,right_shoulder_angle,58.19,"(0.457,0.293)",start
T0yTjgW,0,right_elbow_angle,161.03,"(0.383,0.334)",start
T0yTjgW,0,left_shoulder_angle,62.11,"(0.575,0.299)",start
T0yTjgW,0,left_elbow_angle,22.13,"(0.625,0.347)",start
T0yTjgW,3,right_shoulder_angle,68.32,"(0.438,0.291)",quarter
T0yTjgW,3,right_elbow_angle,178.33,"(0.313,0.338)",quarter
T0yTjgW,3,left_shoulder_angle,18.11,"(0.585,0.300)",quarter
T0yTjgW,3,left_elbow_angle,54.21,"(0.587,0.384)",quarter
T0yTjgW,6,right_shoulder_angle,67.88,"(0.435,0.291)",peak
T0yTjgW,6,right_elbow_angle,178.66,"(0.306,0.342)",peak
T0yTjgW,6,left_shoulder_angle,6.21,"(0.584,0.300)",peak
T0yTjgW,6,left_elbow_angle,64.74,"(0.539,0.410)",peak
T0yTjgW,9,right_shoulder_angle,68.95,"(0.431,0.289)",return
T0yTjgW,9,right_elbow_angle,178.55,"(0.299,0.342)",return
T0yTjgW,9,left_shoulder_angle,30.4,"(0.590,0.297)",return
T0yTjgW,9,left_elbow_angle,39.34,"(0.616,0.404)",return
T0yTjgW,11,right_shoulder_angle,69.71,"(0.434,0.289)",end
T0yTjgW,11,right_elbow_angle,174.39,"(0.331,0.328)",end
T0yTjgW,11,left_shoulder_angle,71.2,"(0.592,0.292)",end
T0yTjgW,11,left_elbow_angle,17.17,"(0.691,0.362)",end
