exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
T2fA5Ir,0,left_knee_angle,165.06,"(0.451,0.593)",start
T2fA5Ir,0,right_knee_angle,179.97,"(0.375,0.585)",start
T2fA5Ir,0,left_hip_angle,174.26,"(0.445,0.425)",start
T2fA5Ir,0,right_hip_angle,171.75,"(0.373,0.420)",start
T2fA5Ir,3,left_knee_angle,120.65,"(0.512,0.565)",quarter
T2fA5Ir,3,right_knee_angle,175.74,"(0.372,0.532)",quarter
T2fA5Ir,3,left_hip_angle,154.31,"(0.452,0.436)",quarter
T2fA5Ir,3,right_hip_angle,172.66,"(0.372,0.438)",quarter
T2fA5Ir,6,left_knee_angle,88.95,"(0.540,0.664)",peak
T2fA5Ir,6,right_knee_angle,147.05,"(0.351,0.689)",peak
T2fA5Ir,6,left_hip_angle,118.79,"(0.435,0.577)",peak
T2fA5Ir,6,right_hip_angle,173.8,"(0.358,0.583)",peak
T2fA5Ir,9,left_knee_angle,107.43,"(0.537,0.649)",return
T2fA5Ir,9,right_knee_angle,176.75,"(0.383,0.629)",return
T2fA5Ir,9,left_hip_angle,138.99,"(0.437,0.496)",return
T2fA5Ir,9,right_hip_angle,174.2,"(0.360,0.496)",return
T2fA5Ir,11,left_knee_angle,146.13,"(0.484,0.605)",end
T2fA5Ir,11,right_knee_angle,164.08,"(0.382,0.523)",end
T2fA5Ir,11,left_hip_angle,157.85,"(0.438,0.443)",end
T2fA5Ir,11,right_hip_angle,174.43,"(0.364,0.440)",end
