exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
TBNaSNs,0,left_shoulder_angle,55.29,"(0.626,0.544)",start
TBNaSNs,0,right_shoulder_angle,53.56,"(0.726,0.483)",start
TBNaSNs,0,left_elbow_angle,162.89,"(0.595,0.366)",start
TBNaSNs,0,right_elbow_angle,168.48,"(0.686,0.344)",start
TBNaSNs,3,left_shoulder_angle,16.82,"(0.627,0.546)",quarter
TBNaSNs,3,right_shoulder_angle,52.24,"(0.724,0.486)",quarter
TBNaSNs,3,left_elbow_angle,96.09,"(0.536,0.463)",quarter
TBNaSNs,3,right_elbow_angle,169.98,"(0.678,0.342)",quarter
TBNaSNs,6,left_shoulder_angle,30.84,"(0.631,0.546)",peak
TBNaSNs,6,right_shoulder_angle,24.98,"(0.695,0.512)",peak
TBNaSNs,6,left_elbow_angle,57.8,"(0.553,0.430)",peak
TBNaSNs,6,right_elbow_angle,65.08,"(0.603,0.406)",peak
TBNaSNs,9,left_shoulder_angle,14.82,"(0.630,0.549)",return
TBNaSNs,9,right_shoulder_angle,30.55,"(0.700,0.506)",return
TBNaSNs,9,left_elbow_angle,90.53,"(0.541,0.473)",return
TBNaSNs,9,right_elbow_angle,122.43,"(0.612,0.388)",return
TBNaSNs,11,left_shoulder_angle,43.16,"(0.630,0.550)",end
TBNaSNs,11,right_shoulder_angle,45.16,"(0.713,0.492)",end
TBNaSNs,11,left_elbow_angle,153.34,"(0.571,0.392)",end
TBNaSNs,11,right_elbow_angle,158.53,"(0.660,0.371)",end
