exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
TUZLh71,0,left_knee_angle,103.63,"(0.609,0.723)",start
TUZLh71,0,right_knee_angle,120.45,"(0.474,0.719)",start
TUZLh71,0,left_hip_angle,100.08,"(0.488,0.614)",start
TUZLh71,0,right_hip_angle,120.19,"(0.400,0.624)",start
TUZLh71,3,left_knee_angle,122.04,"(0.602,0.696)",quarter
TUZLh71,3,right_knee_angle,140.0,"(0.487,0.680)",quarter
TUZLh71,3,left_hip_angle,116.95,"(0.486,0.524)",quarter
TUZLh71,3,right_hip_angle,139.13,"(0.400,0.513)",quarter
TUZLh71,6,left_knee_angle,168.87,"(0.528,0.669)",peak
TUZLh71,6,right_knee_angle,172.29,"(0.434,0.668)",peak
TUZLh71,6,left_hip_angle,152.83,"(0.487,0.447)",peak
TUZLh71,6,right_hip_angle,170.42,"(0.405,0.443)",peak
TUZLh71,9,left_knee_angle,153.83,"(0.558,0.674)",return
TUZLh71,9,right_knee_angle,165.18,"(0.446,0.680)",return
TUZLh71,9,left_hip_angle,149.01,"(0.494,0.476)",return
TUZLh71,9,right_hip_angle,170.92,"(0.410,0.476)",return
TUZLh71,11,left_knee_angle,103.15,"(0.607,0.706)",end
TUZLh71,11,right_knee_angle,135.98,"(0.466,0.698)",end
TUZLh71,11,left_hip_angle,113.66,"(0.510,0.624)",end
TUZLh71,11,right_hip_angle,138.17,"(0.424,0.625)",end
