exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
ThKP69G,0,left_shoulder_angle,26.0,"(0.384,0.347)",start
ThKP69G,0,right_shoulder_angle,4.88,"(0.291,0.335)",start
ThKP69G,0,left_elbow_angle,37.49,"(0.411,0.445)",start
ThKP69G,0,right_elbow_angle,44.43,"(0.282,0.440)",start
ThKP69G,3,left_shoulder_angle,24.89,"(0.390,0.345)",quarter
ThKP69G,3,right_shoulder_angle,6.79,"(0.294,0.335)",quarter
ThKP69G,3,left_elbow_angle,83.3,"(0.410,0.430)",quarter
ThKP69G,3,right_elbow_angle,41.76,"(0.281,0.431)",quarter
ThKP69G,6,left_shoulder_angle,21.4,"(0.395,0.345)",peak
ThKP69G,6,right_shoulder_angle,6.71,"(0.296,0.335)",peak
ThKP69G,6,left_elbow_angle,177.18,"(0.408,0.431)",peak
ThKP69G,6,right_elbow_angle,162.75,"(0.283,0.430)",peak
ThKP69G,9,left_shoulder_angle,21.35,"(0.395,0.345)",return
ThKP69G,9,right_shoulder_angle,7.35,"(0.297,0.335)",return
ThKP69G,9,left_elbow_angle,30.15,"(0.408,0.429)",return
ThKP69G,9,right_elbow_angle,170.48,"(0.283,0.429)",return
ThKP69G,11,left_shoulder_angle,22.96,"(0.391,0.345)",end
ThKP69G,11,right_shoulder_angle,7.21,"(0.296,0.334)",end
ThKP69G,11,left_elbow_angle,31.17,"(0.408,0.429)",end
ThKP69G,11,right_elbow_angle,81.57,"(0.282,0.431)",end
