exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
U7D9Fx3,0,right_shoulder_angle,163.79,"(0.553,0.314)",start
U7D9Fx3,0,left_shoulder_angle,167.98,"(0.654,0.372)",start
U7D9Fx3,3,left_elbow_angle,49.76,"(0.697,0.360)",quarter
U7D9Fx3,3,right_shoulder_angle,156.54,"(0.567,0.278)",quarter
U7D9Fx3,3,left_shoulder_angle,84.27,"(0.679,0.345)",quarter
U7D9Fx3,6,left_elbow_angle,144.05,"(0.659,0.231)",peak
U7D9Fx3,6,right_shoulder_angle,173.37,"(0.601,0.287)",peak
U7D9Fx3,6,left_shoulder_angle,137.24,"(0.674,0.310)",peak
U7D9Fx3,9,left_elbow_angle,28.05,"(0.691,0.325)",return
U7D9Fx3,9,right_shoulder_angle,174.5,"(0.590,0.263)",return
U7D9Fx3,9,left_shoulder_angle,2.17,"(0.699,0.314)",return
U7D9Fx3,11,left_elbow_angle,2.14,"(0.688,0.366)",end
U7D9Fx3,11,right_shoulder_angle,50.68,"(0.591,0.264)",end
U7D9Fx3,11,left_shoulder_angle,23.78,"(0.698,0.321)",end
