exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
UFGF6gk,0,torso_angle,19.960505176279216,,start
UFGF6gk,0,left_shoulder_angle,61.03,"(0.561,0.485)",start
UFGF6gk,3,torso_angle,17.161177193912557,,quarter
UFGF6gk,3,left_shoulder_angle,49.87,"(0.552,0.496)",quarter
UFGF6gk,6,torso_angle,7.937427434566264,,peak
UFGF6gk,6,left_shoulder_angle,8.65,"(0.717,0.473)",peak
UFGF6gk,9,torso_angle,11.807027549785403,,return
UFGF6gk,9,left_shoulder_angle,49.31,"(0.585,0.476)",return
UFGF6gk,11,torso_angle,13.341767388942753,,end
UFGF6gk,11,left_shoulder_angle,49.99,"(0.567,0.477)",end
