exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
VEcJRo2,0,torso_angle,2.0852446282836423,,start
VEcJRo2,0,left_elbow_angle,163.57,"(0.589,0.220)",start
VEcJRo2,0,right_elbow_angle,161.12,"(0.416,0.225)",start
VEcJRo2,0,left_hip_angle,179.2,"(0.537,0.475)",start
VEcJRo2,3,torso_angle,3.433353444371856,,quarter
VEcJRo2,3,left_elbow_angle,166.32,"(0.593,0.223)",quarter
VEcJRo2,3,right_elbow_angle,165.21,"(0.415,0.222)",quarter
VEcJRo2,3,left_hip_angle,167.54,"(0.546,0.522)",quarter
VEcJRo2,6,torso_angle,9.80385923033253,,peak
VEcJRo2,6,left_elbow_angle,167.4,"(0.596,0.225)",peak
VEcJRo2,6,right_hip_angle,20.7,"(0.503,0.523)",peak
VEcJRo2,6,right_elbow_angle,166.3,"(0.417,0.221)",peak
VEcJRo2,6,left_hip_angle,6.78,"(0.572,0.516)",peak
VEcJRo2,9,torso_angle,8.46409163424873,,return
VEcJRo2,9,left_elbow_angle,168.36,"(0.597,0.226)",return
VEcJRo2,9,right_hip_angle,163.51,"(0.501,0.542)",return
VEcJRo2,9,right_elbow_angle,167.46,"(0.417,0.223)",return
VEcJRo2,9,left_hip_angle,173.95,"(0.564,0.529)",return
VEcJRo2,11,torso_angle,3.5977976802678446,,end
VEcJRo2,11,left_elbow_angle,166.13,"(0.596,0.230)",end
VEcJRo2,11,right_hip_angle,172.1,"(0.477,0.551)",end
VEcJRo2,11,right_elbow_angle,170.28,"(0.417,0.223)",end
VEcJRo2,11,left_hip_angle,179.97,"(0.545,0.549)",end
