exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
VO2qeJg,0,torso_angle,66.32081927350654,,start
VO2qeJg,0,right_knee_angle,179.45,"(0.413,0.448)",start
VO2qeJg,0,left_knee_angle,179.22,"(0.431,0.580)",start
VO2qeJg,0,left_hip_angle,170.71,"(0.611,0.560)",start
VO2qeJg,0,right_hip_angle,137.17,"(0.595,0.481)",start
VO2qeJg,3,torso_angle,70.43442022110392,,quarter
VO2qeJg,3,right_knee_angle,168.54,"(0.414,0.424)",quarter
VO2qeJg,3,left_knee_angle,163.69,"(0.454,0.590)",quarter
VO2qeJg,3,left_hip_angle,174.49,"(0.610,0.539)",quarter
VO2qeJg,3,right_hip_angle,143.9,"(0.586,0.453)",quarter
VO2qeJg,6,torso_angle,82.79605245366645,,peak
VO2qeJg,6,right_knee_angle,170.62,"(0.417,0.400)",peak
VO2qeJg,6,left_knee_angle,173.83,"(0.441,0.464)",peak
VO2qeJg,6,left_hip_angle,175.7,"(0.609,0.477)",peak
VO2qeJg,6,right_hip_angle,166.77,"(0.591,0.397)",peak
VO2qeJg,9,torso_angle,79.74139891744638,,return
VO2qeJg,9,right_knee_angle,172.62,"(0.413,0.412)",return
VO2qeJg,9,left_knee_angle,174.63,"(0.443,0.517)",return
VO2qeJg,9,left_hip_angle,178.18,"(0.606,0.500)",return
VO2qeJg,9,right_hip_angle,166.34,"(0.590,0.404)",return
VO2qeJg,11,torso_angle,78.47298063865185,,end
VO2qeJg,11,right_knee_angle,173.5,"(0.419,0.421)",end
VO2qeJg,11,left_knee_angle,176.09,"(0.436,0.521)",end
VO2qeJg,11,left_hip_angle,177.23,"(0.606,0.510)",end
VO2qeJg,11,right_hip_angle,162.23,"(0.593,0.425)",end
