exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
Vvwjz6N,0,right_hip_angle,179.51,"(0.412,0.394)",start
Vvwjz6N,0,right_elbow_angle,11.75,"(0.466,0.304)",start
Vvwjz6N,0,right_knee_angle,90.4,"(0.409,0.568)",start
Vvwjz6N,0,left_hip_angle,168.46,"(0.408,0.385)",start
Vvwjz6N,0,left_knee_angle,113.52,"(0.395,0.501)",start
Vvwjz6N,3,right_hip_angle,160.51,"(0.425,0.406)",quarter
Vvwjz6N,3,right_elbow_angle,14.78,"(0.472,0.309)",quarter
Vvwjz6N,3,right_knee_angle,95.07,"(0.469,0.513)",quarter
Vvwjz6N,3,left_hip_angle,166.2,"(0.388,0.400)",quarter
Vvwjz6N,3,left_knee_angle,107.19,"(0.364,0.520)",quarter
Vvwjz6N,6,right_hip_angle,137.31,"(0.509,0.483)",peak
Vvwjz6N,6,right_elbow_angle,174.18,"(0.475,0.482)",peak
Vvwjz6N,6,right_knee_angle,169.64,"(0.448,0.520)",peak
Vvwjz6N,6,left_hip_angle,164.81,"(0.485,0.481)",peak
Vvwjz6N,6,left_knee_angle,109.12,"(0.441,0.556)",peak
Vvwjz6N,9,right_hip_angle,119.0,"(0.465,0.476)",return
Vvwjz6N,9,right_elbow_angle,43.21,"(0.476,0.355)",return
Vvwjz6N,9,right_knee_angle,53.57,"(0.500,0.501)",return
Vvwjz6N,9,left_hip_angle,167.61,"(0.390,0.437)",return
Vvwjz6N,9,left_knee_angle,98.14,"(0.364,0.541)",return
Vvwjz6N,11,right_hip_angle,172.08,"(0.425,0.434)",end
Vvwjz6N,11,right_elbow_angle,16.0,"(0.455,0.323)",end
Vvwjz6N,11,right_knee_angle,88.96,"(0.432,0.542)",end
Vvwjz6N,11,left_hip_angle,177.07,"(0.396,0.416)",end
Vvwjz6N,11,left_knee_angle,97.81,"(0.385,0.534)",end
