exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
W31mMjd,0,left_hip_angle,129.16,"(0.749,0.540)",start
W31mMjd,0,right_knee_angle,176.73,"(0.550,0.689)",start
W31mMjd,0,right_hip_angle,134.94,"(0.677,0.541)",start
W31mMjd,0,left_knee_angle,92.17,"(0.873,0.656)",start
W31mMjd,3,left_hip_angle,131.81,"(0.757,0.532)",quarter
W31mMjd,3,right_knee_angle,160.22,"(0.721,0.653)",quarter
W31mMjd,3,right_hip_angle,173.01,"(0.697,0.534)",quarter
W31mMjd,3,left_knee_angle,100.26,"(0.861,0.646)",quarter
W31mMjd,6,left_hip_angle,150.38,"(0.591,0.531)",peak
W31mMjd,6,right_knee_angle,123.7,"(0.589,0.656)",peak
W31mMjd,6,right_hip_angle,158.81,"(0.509,0.540)",peak
W31mMjd,6,left_knee_angle,174.53,"(0.661,0.648)",peak
W31mMjd,9,left_hip_angle,148.08,"(0.544,0.525)",return
W31mMjd,9,right_knee_angle,109.38,"(0.585,0.630)",return
W31mMjd,9,right_hip_angle,143.93,"(0.478,0.533)",return
W31mMjd,9,left_knee_angle,143.68,"(0.621,0.665)",return
W31mMjd,11,left_hip_angle,133.77,"(0.669,0.527)",end
W31mMjd,11,right_knee_angle,171.32,"(0.561,0.661)",end
W31mMjd,11,right_hip_angle,154.26,"(0.619,0.533)",end
W31mMjd,11,left_knee_angle,87.83,"(0.836,0.660)",end
