exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
WM6TvvW,0,left_shoulder_angle,55.2,"(0.795,0.443)",start
WM6TvvW,0,torso_angle,13.127489524137973,,start
WM6TvvW,3,left_shoulder_angle,27.01,"(0.775,0.443)",quarter
WM6TvvW,3,torso_angle,14.2269148286864,,quarter
WM6TvvW,6,left_shoulder_angle,9.8,"(0.739,0.440)",peak
WM6TvvW,6,torso_angle,16.08368805977595,,peak
WM6TvvW,9,left_shoulder_angle,31.68,"(0.815,0.446)",return
WM6TvvW,9,torso_angle,15.870234663160566,,return
WM6TvvW,11,left_shoulder_angle,42.12,"(0.725,0.442)",end
WM6TvvW,11,torso_angle,13.92916269667524,,end
