exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
XPUDTt7,0,right_shoulder_angle,158.61,"(0.560,0.520)",start
XPUDTt7,0,right_hip_angle,92.42,"(0.355,0.348)",start
XPUDTt7,0,right_elbow_angle,168.28,"(0.623,0.634)",start
XPUDTt7,0,right_knee_angle,177.18,"(0.228,0.487)",start
XPUDTt7,6,right_shoulder_angle,141.0,"(0.610,0.531)",quarter
XPUDTt7,6,right_hip_angle,97.42,"(0.411,0.379)",quarter
XPUDTt7,6,right_elbow_angle,146.29,"(0.637,0.640)",quarter
XPUDTt7,6,right_knee_angle,165.49,"(0.291,0.499)",quarter
XPUDTt7,12,right_shoulder_angle,36.32,"(0.752,0.583)",peak
XPUDTt7,12,right_hip_angle,99.07,"(0.503,0.446)",peak
XPUDTt7,12,right_elbow_angle,170.48,"(0.629,0.599)",peak
XPUDTt7,12,right_knee_angle,139.26,"(0.384,0.598)",peak
XPUDTt7,18,right_shoulder_angle,63.46,"(0.689,0.465)",return
XPUDTt7,18,right_hip_angle,96.76,"(0.536,0.418)",return
XPUDTt7,18,right_elbow_angle,169.55,"(0.631,0.526)",return
XPUDTt7,18,right_knee_angle,133.09,"(0.471,0.564)",return
XPUDTt7,23,right_shoulder_angle,119.82,"(0.635,0.485)",end
XPUDTt7,23,right_hip_angle,90.42,"(0.395,0.345)",end
XPUDTt7,23,right_elbow_angle,158.21,"(0.634,0.569)",end
XPUDTt7,23,right_knee_angle,165.05,"(0.304,0.497)",end
