exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
Y8dOJlH,0,right_shoulder_angle,89.82,"(0.229,0.534)",start
Y8dOJlH,0,torso_angle,16.15538497035313,,start
Y8dOJlH,0,right_hip_angle,76.98,"(0.167,0.733)",start
Y8dOJlH,0,right_knee_angle,64.76,"(0.347,0.746)",start
Y8dOJlH,3,right_shoulder_angle,82.91,"(0.193,0.528)",quarter
Y8dOJlH,3,torso_angle,15.689034337690169,,quarter
Y8dOJlH,3,right_hip_angle,66.8,"(0.134,0.728)",quarter
Y8dOJlH,3,right_knee_angle,79.9,"(0.241,0.715)",quarter
Y8dOJlH,6,right_shoulder_angle,17.07,"(0.176,0.402)",peak
Y8dOJlH,6,torso_angle,11.583153739576112,,peak
Y8dOJlH,6,right_hip_angle,133.93,"(0.141,0.605)",peak
Y8dOJlH,6,right_knee_angle,142.97,"(0.223,0.718)",peak
Y8dOJlH,9,right_shoulder_angle,15.09,"(0.167,0.405)",return
Y8dOJlH,9,torso_angle,10.861628057234954,,return
Y8dOJlH,9,right_hip_angle,115.22,"(0.143,0.628)",return
Y8dOJlH,9,right_knee_angle,112.68,"(0.253,0.695)",return
Y8dOJlH,11,right_shoulder_angle,101.43,"(0.225,0.491)",end
Y8dOJlH,11,torso_angle,15.093374013973813,,end
Y8dOJlH,11,right_hip_angle,72.36,"(0.154,0.728)",end
Y8dOJlH,11,right_knee_angle,63.89,"(0.325,0.725)",end
