exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
ZA8b5hc,0,left_knee_angle,172.3,"(0.533,0.674)",start
ZA8b5hc,0,right_knee_angle,173.35,"(0.394,0.692)",start
ZA8b5hc,0,left_hip_angle,164.82,"(0.497,0.488)",start
ZA8b5hc,0,right_hip_angle,162.84,"(0.419,0.486)",start
ZA8b5hc,3,left_knee_angle,114.77,"(0.634,0.703)",quarter
ZA8b5hc,3,right_knee_angle,158.15,"(0.416,0.718)",quarter
ZA8b5hc,3,left_hip_angle,140.26,"(0.498,0.509)",quarter
ZA8b5hc,3,right_hip_angle,169.35,"(0.420,0.515)",quarter
ZA8b5hc,6,left_knee_angle,67.67,"(0.656,0.728)",peak
ZA8b5hc,6,right_knee_angle,151.81,"(0.420,0.750)",peak
ZA8b5hc,6,left_hip_angle,97.87,"(0.505,0.677)",peak
ZA8b5hc,6,right_hip_angle,167.55,"(0.422,0.687)",peak
ZA8b5hc,9,left_knee_angle,94.15,"(0.649,0.715)",return
ZA8b5hc,9,right_knee_angle,129.25,"(0.448,0.740)",return
ZA8b5hc,9,left_hip_angle,127.43,"(0.508,0.579)",return
ZA8b5hc,9,right_hip_angle,171.79,"(0.410,0.583)",return
ZA8b5hc,11,left_knee_angle,115.01,"(0.633,0.686)",end
ZA8b5hc,11,right_knee_angle,156.39,"(0.418,0.712)",end
ZA8b5hc,11,left_hip_angle,139.17,"(0.506,0.509)",end
ZA8b5hc,11,right_hip_angle,175.06,"(0.414,0.511)",end
