exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
ZSY3MsL,0,left_elbow_angle,70.08,"(0.603,0.480)",start
ZSY3MsL,0,right_hip_angle,175.81,"(0.469,0.550)",start
ZSY3MsL,0,right_elbow_angle,29.12,"(0.480,0.458)",start
ZSY3MsL,0,right_knee_angle,72.22,"(0.437,0.743)",start
ZSY3MsL,0,left_hip_angle,171.99,"(0.527,0.562)",start
ZSY3MsL,3,left_elbow_angle,64.42,"(0.604,0.484)",quarter
ZSY3MsL,3,right_hip_angle,171.97,"(0.467,0.557)",quarter
ZSY3MsL,3,right_elbow_angle,53.07,"(0.481,0.483)",quarter
ZSY3MsL,3,right_knee_angle,79.93,"(0.434,0.713)",quarter
ZSY3MsL,3,left_hip_angle,156.32,"(0.527,0.563)",quarter
ZSY3MsL,6,left_elbow_angle,170.61,"(0.664,0.651)",peak
ZSY3MsL,6,right_hip_angle,124.75,"(0.548,0.659)",peak
ZSY3MsL,6,right_elbow_angle,30.22,"(0.560,0.654)",peak
ZSY3MsL,6,right_knee_angle,115.78,"(0.504,0.721)",peak
ZSY3MsL,6,left_hip_angle,136.72,"(0.571,0.633)",peak
ZSY3MsL,9,left_elbow_angle,12.11,"(0.636,0.527)",return
ZSY3MsL,9,right_hip_angle,163.18,"(0.499,0.593)",return
ZSY3MsL,9,right_elbow_angle,57.6,"(0.505,0.541)",return
ZSY3MsL,9,right_knee_angle,93.37,"(0.450,0.717)",return
ZSY3MsL,9,left_hip_angle,173.41,"(0.548,0.598)",return
ZSY3MsL,11,left_elbow_angle,38.13,"(0.627,0.495)",end
ZSY3MsL,11,right_hip_angle,170.57,"(0.479,0.572)",end
ZSY3MsL,11,right_elbow_angle,23.73,"(0.483,0.480)",end
ZSY3MsL,11,right_knee_angle,81.71,"(0.441,0.725)",end
ZSY3MsL,11,left_hip_angle,179.88,"(0.542,0.589)",end
