exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
ZnJHhMk,0,right_shoulder_angle,29.56,"(0.239,0.234)",start
ZnJHhMk,0,torso_angle,4.302101780709683,,start
ZnJHhMk,0,right_hip_angle,116.02,"(0.242,0.461)",start
ZnJHhMk,0,right_elbow_angle,43.5,"(0.168,0.363)",start
ZnJHhMk,3,right_shoulder_angle,32.9,"(0.240,0.234)",quarter
ZnJHhMk,3,torso_angle,4.823959514758685,,quarter
ZnJHhMk,3,right_hip_angle,117.61,"(0.244,0.461)",quarter
ZnJHhMk,3,right_elbow_angle,85.42,"(0.169,0.349)",quarter
ZnJHhMk,6,right_shoulder_angle,57.83,"(0.292,0.247)",peak
ZnJHhMk,6,torso_angle,10.56780291123399,,peak
ZnJHhMk,6,right_hip_angle,117.01,"(0.287,0.476)",peak
ZnJHhMk,6,right_elbow_angle,76.14,"(0.169,0.320)",peak
ZnJHhMk,6,left_hip_angle,110.34,"(0.397,0.485)",peak
ZnJHhMk,9,right_shoulder_angle,50.65,"(0.276,0.246)",return
ZnJHhMk,9,torso_angle,8.401229286020232,,return
ZnJHhMk,9,right_hip_angle,113.31,"(0.268,0.474)",return
ZnJHhMk,9,right_elbow_angle,66.56,"(0.172,0.325)",return
ZnJHhMk,9,left_hip_angle,114.12,"(0.375,0.477)",return
ZnJHhMk,11,right_shoulder_angle,41.21,"(0.262,0.245)",end
ZnJHhMk,11,torso_angle,6.621608563547352,,end
ZnJHhMk,11,right_hip_angle,114.47,"(0.262,0.472)",end
ZnJHhMk,11,right_elbow_angle,51.84,"(0.172,0.347)",end
ZnJHhMk,11,left_hip_angle,103.27,"(0.367,0.474)",end
