exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
aqvSOQE,0,right_shoulder_angle,44.14,"(0.538,0.254)",start
aqvSOQE,0,left_shoulder_angle,64.61,"(0.685,0.298)",start
aqvSOQE,0,left_elbow_angle,175.16,"(0.667,0.446)",start
aqvSOQE,0,right_elbow_angle,149.66,"(0.476,0.405)",start
aqvSOQE,3,right_shoulder_angle,32.46,"(0.510,0.224)",quarter
aqvSOQE,3,left_shoulder_angle,72.72,"(0.677,0.297)",quarter
aqvSOQE,3,left_elbow_angle,179.1,"(0.671,0.446)",quarter
aqvSOQE,3,right_elbow_angle,168.72,"(0.350,0.221)",quarter
aqvSOQE,6,right_shoulder_angle,37.16,"(0.516,0.229)",peak
aqvSOQE,6,left_shoulder_angle,169.97,"(0.669,0.253)",peak
aqvSOQE,6,left_elbow_angle,159.87,"(0.756,0.235)",peak
aqvSOQE,6,right_elbow_angle,163.16,"(0.361,0.209)",peak
aqvSOQE,9,right_shoulder_angle,36.23,"(0.497,0.221)",return
aqvSOQE,9,left_shoulder_angle,86.57,"(0.670,0.254)",return
aqvSOQE,9,left_elbow_angle,157.51,"(0.712,0.377)",return
aqvSOQE,9,right_elbow_angle,169.1,"(0.337,0.213)",return
aqvSOQE,11,right_shoulder_angle,24.87,"(0.501,0.225)",end
aqvSOQE,11,left_shoulder_angle,75.62,"(0.670,0.255)",end
aqvSOQE,11,left_elbow_angle,163.34,"(0.695,0.429)",end
aqvSOQE,11,right_elbow_angle,143.45,"(0.435,0.328)",end
