exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
bdWcbaU,0,left_hip_angle,168.32,"(0.547,0.469)",start
bdWcbaU,0,left_knee_angle,173.92,"(0.563,0.661)",start
bdWcbaU,0,right_hip_angle,172.32,"(0.474,0.467)",start
bdWcbaU,0,right_knee_angle,174.57,"(0.469,0.683)",start
bdWcbaU,3,left_hip_angle,150.3,"(0.547,0.468)",quarter
bdWcbaU,3,left_knee_angle,137.94,"(0.624,0.647)",quarter
bdWcbaU,3,right_hip_angle,176.23,"(0.475,0.463)",quarter
bdWcbaU,3,right_knee_angle,169.74,"(0.482,0.614)",quarter
bdWcbaU,6,left_hip_angle,115.26,"(0.535,0.627)",peak
bdWcbaU,6,left_knee_angle,96.09,"(0.647,0.707)",peak
bdWcbaU,6,right_hip_angle,166.42,"(0.459,0.629)",peak
bdWcbaU,6,right_knee_angle,153.62,"(0.481,0.706)",peak
bdWcbaU,9,left_hip_angle,145.95,"(0.536,0.527)",return
bdWcbaU,9,left_knee_angle,131.64,"(0.623,0.704)",return
bdWcbaU,9,right_hip_angle,172.4,"(0.470,0.541)",return
bdWcbaU,9,right_knee_angle,151.47,"(0.503,0.699)",return
bdWcbaU,11,left_hip_angle,148.49,"(0.541,0.486)",end
bdWcbaU,11,left_knee_angle,135.92,"(0.626,0.670)",end
bdWcbaU,11,right_hip_angle,177.63,"(0.476,0.494)",end
bdWcbaU,11,right_knee_angle,158.07,"(0.500,0.676)",end
