exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
c8f5cSY,0,left_hip_angle,83.79,"(0.414,0.519)",start
c8f5cSY,0,left_knee_angle,55.96,"(0.516,0.399)",start
c8f5cSY,0,right_hip_angle,148.04,"(0.396,0.593)",start
c8f5cSY,0,right_knee_angle,152.68,"(0.600,0.564)",start
c8f5cSY,3,left_hip_angle,84.44,"(0.429,0.517)",quarter
c8f5cSY,3,left_knee_angle,54.42,"(0.516,0.401)",quarter
c8f5cSY,3,right_hip_angle,137.61,"(0.403,0.590)",quarter
c8f5cSY,3,right_knee_angle,142.22,"(0.604,0.518)",quarter
c8f5cSY,6,left_hip_angle,86.03,"(0.427,0.517)",peak
c8f5cSY,6,left_knee_angle,56.8,"(0.516,0.403)",peak
c8f5cSY,6,right_hip_angle,130.63,"(0.403,0.588)",peak
c8f5cSY,6,right_knee_angle,173.13,"(0.584,0.496)",peak
c8f5cSY,9,left_hip_angle,86.26,"(0.436,0.515)",return
c8f5cSY,9,left_knee_angle,55.33,"(0.516,0.403)",return
c8f5cSY,9,right_hip_angle,138.92,"(0.411,0.587)",return
c8f5cSY,9,right_knee_angle,166.51,"(0.607,0.516)",return
c8f5cSY,11,left_hip_angle,86.98,"(0.433,0.514)",end
c8f5cSY,11,left_knee_angle,55.8,"(0.517,0.403)",end
c8f5cSY,11,right_hip_angle,158.06,"(0.413,0.587)",end
c8f5cSY,11,right_knee_angle,168.24,"(0.619,0.583)",end
