exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
cA9FuWG,0,left_shoulder_angle,39.61,"(0.444,0.540)",start
cA9FuWG,0,right_shoulder_angle,80.32,"(0.541,0.500)",start
cA9FuWG,0,torso_angle,104.00898357630491,,start
cA9FuWG,3,left_shoulder_angle,0.7,"(0.448,0.561)",quarter
cA9FuWG,3,right_shoulder_angle,86.02,"(0.528,0.495)",quarter
cA9FuWG,3,torso_angle,106.46540733437998,,quarter
cA9FuWG,6,left_shoulder_angle,13.92,"(0.448,0.556)",peak
cA9FuWG,6,right_shoulder_angle,87.93,"(0.511,0.514)",peak
cA9FuWG,6,torso_angle,106.81562770885407,,peak
cA9FuWG,9,left_shoulder_angle,43.04,"(0.449,0.554)",return
cA9FuWG,9,right_shoulder_angle,80.63,"(0.519,0.512)",return
cA9FuWG,9,torso_angle,106.38761099697582,,return
cA9FuWG,11,left_shoulder_angle,51.98,"(0.429,0.553)",end
cA9FuWG,11,right_shoulder_angle,82.05,"(0.524,0.511)",end
cA9FuWG,11,torso_angle,107.0281148761206,,end
