exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
da4cXST,0,right_shoulder_angle,43.04,"(0.623,0.492)",start
da4cXST,0,left_shoulder_angle,12.53,"(0.511,0.590)",start
da4cXST,0,left_elbow_angle,92.08,"(0.432,0.504)",start
da4cXST,3,right_shoulder_angle,63.36,"(0.622,0.490)",quarter
da4cXST,3,left_shoulder_angle,28.48,"(0.470,0.567)",quarter
da4cXST,3,left_elbow_angle,152.7,"(0.415,0.395)",quarter
da4cXST,6,right_shoulder_angle,66.35,"(0.619,0.486)",peak
da4cXST,6,left_shoulder_angle,30.55,"(0.456,0.551)",peak
da4cXST,6,left_elbow_angle,157.47,"(0.414,0.382)",peak
da4cXST,9,right_shoulder_angle,66.74,"(0.619,0.486)",return
da4cXST,9,right_elbow_angle,179.07,"(0.603,0.336)",return
da4cXST,9,left_shoulder_angle,31.73,"(0.456,0.554)",return
da4cXST,9,left_elbow_angle,158.74,"(0.414,0.386)",return
da4cXST,11,right_shoulder_angle,59.78,"(0.620,0.499)",end
da4cXST,11,right_elbow_angle,161.4,"(0.601,0.397)",end
da4cXST,11,left_shoulder_angle,11.39,"(0.464,0.559)",end
da4cXST,11,left_elbow_angle,122.05,"(0.367,0.435)",end
