exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
eOrFCnx,0,left_shoulder_angle,23.98,"(0.633,0.408)",start
eOrFCnx,0,right_shoulder_angle,41.87,"(0.507,0.415)",start
eOrFCnx,0,left_elbow_angle,9.37,"(0.661,0.485)",start
eOrFCnx,0,right_elbow_angle,23.76,"(0.448,0.509)",start
eOrFCnx,3,left_shoulder_angle,26.58,"(0.631,0.406)",quarter
eOrFCnx,3,right_shoulder_angle,41.69,"(0.500,0.415)",quarter
eOrFCnx,3,left_elbow_angle,19.62,"(0.666,0.487)",quarter
eOrFCnx,3,right_elbow_angle,25.13,"(0.449,0.504)",quarter
eOrFCnx,6,left_shoulder_angle,147.3,"(0.615,0.387)",peak
eOrFCnx,6,right_shoulder_angle,148.31,"(0.515,0.405)",peak
eOrFCnx,6,left_elbow_angle,152.65,"(0.656,0.319)",peak
eOrFCnx,6,right_elbow_angle,147.33,"(0.489,0.373)",peak
eOrFCnx,9,left_shoulder_angle,33.93,"(0.618,0.390)",return
eOrFCnx,9,right_shoulder_angle,33.88,"(0.507,0.406)",return
eOrFCnx,9,left_elbow_angle,34.0,"(0.662,0.454)",return
eOrFCnx,9,right_elbow_angle,27.52,"(0.481,0.464)",return
eOrFCnx,11,left_shoulder_angle,24.74,"(0.625,0.399)",end
eOrFCnx,11,right_shoulder_angle,30.68,"(0.508,0.413)",end
eOrFCnx,11,left_elbow_angle,21.69,"(0.661,0.483)",end
eOrFCnx,11,right_elbow_angle,21.86,"(0.476,0.497)",end
