exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
elhhVgj,0,left_hip_angle,167.66,"(0.604,0.483)",start
elhhVgj,0,left_knee_angle,170.66,"(0.627,0.672)",start
elhhVgj,0,right_hip_angle,171.88,"(0.532,0.485)",start
elhhVgj,0,right_knee_angle,173.92,"(0.528,0.695)",start
elhhVgj,3,left_hip_angle,155.63,"(0.604,0.494)",quarter
elhhVgj,3,left_knee_angle,147.14,"(0.667,0.674)",quarter
elhhVgj,3,right_hip_angle,171.15,"(0.522,0.490)",quarter
elhhVgj,3,right_knee_angle,164.62,"(0.546,0.580)",quarter
elhhVgj,6,left_hip_angle,109.76,"(0.573,0.634)",peak
elhhVgj,6,left_knee_angle,90.58,"(0.709,0.716)",peak
elhhVgj,6,right_hip_angle,121.74,"(0.494,0.651)",peak
elhhVgj,6,right_knee_angle,110.83,"(0.573,0.700)",peak
elhhVgj,9,left_hip_angle,125.21,"(0.575,0.591)",return
elhhVgj,9,left_knee_angle,112.31,"(0.688,0.704)",return
elhhVgj,9,right_hip_angle,147.36,"(0.503,0.584)",return
elhhVgj,9,right_knee_angle,136.94,"(0.563,0.670)",return
elhhVgj,11,left_hip_angle,146.91,"(0.592,0.513)",end
elhhVgj,11,left_knee_angle,129.97,"(0.687,0.703)",end
elhhVgj,11,right_hip_angle,173.14,"(0.521,0.511)",end
elhhVgj,11,right_knee_angle,157.03,"(0.559,0.684)",end
