exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
fKZgDEO,0,left_ankle_angle,111.56,"(0.646,0.857)",start
fKZgDEO,0,left_elbow_angle,151.07,"(0.600,0.455)",start
fKZgDEO,0,right_knee_angle,166.61,"(0.680,0.699)",start
fKZgDEO,0,left_knee_angle,164.46,"(0.625,0.704)",start
fKZgDEO,0,right_ankle_angle,113.39,"(0.691,0.846)",start
fKZgDEO,3,left_ankle_angle,125.63,"(0.638,0.848)",quarter
fKZgDEO,3,left_elbow_angle,165.96,"(0.590,0.432)",quarter
fKZgDEO,3,right_knee_angle,167.39,"(0.674,0.685)",quarter
fKZgDEO,3,left_knee_angle,171.12,"(0.625,0.688)",quarter
fKZgDEO,3,right_ankle_angle,124.26,"(0.687,0.840)",quarter
fKZgDEO,6,left_ankle_angle,139.58,"(0.645,0.816)",peak
fKZgDEO,6,left_elbow_angle,139.58,"(0.651,0.413)",peak
fKZgDEO,6,right_knee_angle,176.04,"(0.653,0.670)",peak
fKZgDEO,6,left_knee_angle,166.21,"(0.628,0.670)",peak
fKZgDEO,6,right_ankle_angle,139.32,"(0.663,0.817)",peak
fKZgDEO,9,left_ankle_angle,158.02,"(0.666,0.828)",return
fKZgDEO,9,left_elbow_angle,140.82,"(0.686,0.423)",return
fKZgDEO,9,right_knee_angle,174.13,"(0.640,0.676)",return
fKZgDEO,9,left_knee_angle,170.82,"(0.655,0.678)",return
fKZgDEO,9,right_ankle_angle,134.63,"(0.657,0.822)",return
fKZgDEO,11,left_ankle_angle,145.82,"(0.662,0.834)",end
fKZgDEO,11,left_elbow_angle,158.35,"(0.633,0.429)",end
fKZgDEO,11,right_knee_angle,170.15,"(0.650,0.691)",end
fKZgDEO,11,left_knee_angle,169.34,"(0.649,0.691)",end
fKZgDEO,11,right_ankle_angle,145.69,"(0.665,0.831)",end
