exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
ffQsyBj,0,right_shoulder_angle,7.96,"(0.410,0.227)",start
ffQsyBj,0,right_elbow_angle,169.59,"(0.413,0.331)",start
ffQsyBj,0,left_shoulder_angle,7.67,"(0.557,0.226)",start
ffQsyBj,0,left_elbow_angle,168.72,"(0.565,0.356)",start
ffQsyBj,3,right_shoulder_angle,10.64,"(0.412,0.222)",quarter
ffQsyBj,3,right_elbow_angle,45.39,"(0.436,0.288)",quarter
ffQsyBj,3,left_shoulder_angle,9.15,"(0.553,0.226)",quarter
ffQsyBj,3,left_elbow_angle,169.88,"(0.564,0.358)",quarter
ffQsyBj,6,right_shoulder_angle,21.03,"(0.416,0.216)",peak
ffQsyBj,6,right_elbow_angle,53.88,"(0.447,0.271)",peak
ffQsyBj,6,left_shoulder_angle,9.53,"(0.552,0.227)",peak
ffQsyBj,6,left_elbow_angle,170.31,"(0.564,0.359)",peak
ffQsyBj,9,right_shoulder_angle,12.28,"(0.416,0.217)",return
ffQsyBj,9,right_elbow_angle,41.32,"(0.441,0.284)",return
ffQsyBj,9,left_shoulder_angle,9.51,"(0.552,0.227)",return
ffQsyBj,9,left_elbow_angle,170.22,"(0.564,0.359)",return
ffQsyBj,11,right_shoulder_angle,0.9,"(0.416,0.217)",end
ffQsyBj,11,right_elbow_angle,179.78,"(0.428,0.316)",end
ffQsyBj,11,left_shoulder_angle,9.52,"(0.552,0.226)",end
ffQsyBj,11,left_elbow_angle,169.85,"(0.565,0.359)",end
