exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
fprd84i,0,left_shoulder_angle,17.9,"(0.527,0.290)",start
fprd84i,0,right_shoulder_angle,30.72,"(0.409,0.344)",start
fprd84i,0,left_elbow_angle,47.28,"(0.628,0.366)",start
fprd84i,0,right_elbow_angle,163.34,"(0.448,0.452)",start
fprd84i,3,left_shoulder_angle,17.27,"(0.518,0.284)",quarter
fprd84i,3,right_shoulder_angle,91.82,"(0.396,0.338)",quarter
fprd84i,3,left_elbow_angle,16.5,"(0.614,0.362)",quarter
fprd84i,3,right_elbow_angle,159.35,"(0.324,0.411)",quarter
fprd84i,6,left_shoulder_angle,32.21,"(0.464,0.290)",peak
fprd84i,6,right_shoulder_angle,129.43,"(0.398,0.311)",peak
fprd84i,6,left_elbow_angle,16.25,"(0.571,0.318)",peak
fprd84i,6,right_elbow_angle,163.1,"(0.359,0.314)",peak
fprd84i,9,left_shoulder_angle,27.15,"(0.480,0.283)",return
fprd84i,9,right_shoulder_angle,100.38,"(0.387,0.319)",return
fprd84i,9,left_elbow_angle,15.73,"(0.583,0.329)",return
fprd84i,9,right_elbow_angle,98.93,"(0.305,0.372)",return
fprd84i,11,left_shoulder_angle,23.89,"(0.490,0.283)",end
fprd84i,11,right_shoulder_angle,103.03,"(0.405,0.337)",end
fprd84i,11,left_elbow_angle,22.16,"(0.593,0.338)",end
fprd84i,11,right_elbow_angle,62.0,"(0.310,0.396)",end
