exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
gWcZD4q,0,left_shoulder_angle,37.04,"(0.494,0.386)",start
gWcZD4q,0,right_shoulder_angle,15.39,"(0.421,0.378)",start
gWcZD4q,0,left_elbow_angle,37.17,"(0.541,0.459)",start
gWcZD4q,0,right_elbow_angle,39.78,"(0.440,0.436)",start
gWcZD4q,6,left_shoulder_angle,29.75,"(0.501,0.389)",quarter
gWcZD4q,6,right_shoulder_angle,22.01,"(0.412,0.378)",quarter
gWcZD4q,6,left_elbow_angle,45.38,"(0.537,0.466)",quarter
gWcZD4q,6,right_elbow_angle,36.28,"(0.419,0.391)",quarter
gWcZD4q,12,left_shoulder_angle,33.7,"(0.508,0.390)",peak
gWcZD4q,12,right_shoulder_angle,2.45,"(0.406,0.381)",peak
gWcZD4q,12,left_elbow_angle,37.09,"(0.548,0.465)",peak
gWcZD4q,12,right_elbow_angle,9.62,"(0.408,0.421)",peak
gWcZD4q,18,left_shoulder_angle,51.36,"(0.499,0.349)",return
gWcZD4q,18,right_shoulder_angle,41.51,"(0.400,0.372)",return
gWcZD4q,18,left_elbow_angle,38.25,"(0.514,0.363)",return
gWcZD4q,18,right_elbow_angle,67.38,"(0.414,0.385)",return
gWcZD4q,23,left_shoulder_angle,36.36,"(0.501,0.368)",end
gWcZD4q,23,right_shoulder_angle,0.99,"(0.400,0.373)",end
gWcZD4q,23,left_elbow_angle,32.71,"(0.538,0.424)",end
gWcZD4q,23,right_elbow_angle,18.31,"(0.405,0.415)",end
