exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
guT8YnS,0,left_shoulder_angle,171.86,"(0.482,0.308)",start
guT8YnS,0,right_shoulder_angle,169.04,"(0.593,0.327)",start
guT8YnS,0,left_elbow_angle,157.88,"(0.463,0.209)",start
guT8YnS,0,right_elbow_angle,169.1,"(0.591,0.221)",start
guT8YnS,3,left_shoulder_angle,157.86,"(0.478,0.289)",quarter
guT8YnS,3,right_shoulder_angle,178.2,"(0.592,0.291)",quarter
guT8YnS,3,left_elbow_angle,131.63,"(0.433,0.188)",quarter
guT8YnS,3,right_elbow_angle,144.65,"(0.610,0.193)",quarter
guT8YnS,6,left_shoulder_angle,157.06,"(0.470,0.280)",peak
guT8YnS,6,right_shoulder_angle,172.37,"(0.589,0.285)",peak
guT8YnS,6,left_elbow_angle,124.14,"(0.423,0.187)",peak
guT8YnS,6,right_elbow_angle,138.15,"(0.614,0.198)",peak
guT8YnS,9,left_shoulder_angle,157.52,"(0.470,0.281)",return
guT8YnS,9,right_shoulder_angle,170.65,"(0.590,0.291)",return
guT8YnS,9,left_elbow_angle,124.87,"(0.422,0.183)",return
guT8YnS,9,right_elbow_angle,130.65,"(0.622,0.192)",return
guT8YnS,11,left_shoulder_angle,163.54,"(0.471,0.296)",end
guT8YnS,11,right_shoulder_angle,172.47,"(0.590,0.301)",end
guT8YnS,11,left_elbow_angle,136.33,"(0.432,0.189)",end
guT8YnS,11,right_elbow_angle,141.39,"(0.617,0.205)",end
