exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
gvsWLQw,0,left_shoulder_angle,52.53,"(0.781,0.290)",start
gvsWLQw,0,right_shoulder_angle,1.95,"(0.626,0.209)",start
gvsWLQw,0,left_elbow_angle,175.54,"(0.777,0.436)",start
gvsWLQw,0,right_elbow_angle,125.23,"(0.542,0.348)",start
gvsWLQw,3,left_shoulder_angle,48.42,"(0.780,0.270)",quarter
gvsWLQw,3,right_shoulder_angle,2.9,"(0.639,0.203)",quarter
gvsWLQw,3,left_elbow_angle,176.99,"(0.777,0.405)",quarter
gvsWLQw,3,right_elbow_angle,119.26,"(0.543,0.349)",quarter
gvsWLQw,6,left_shoulder_angle,46.36,"(0.761,0.253)",peak
gvsWLQw,6,right_shoulder_angle,2.97,"(0.652,0.202)",peak
gvsWLQw,6,left_elbow_angle,174.89,"(0.769,0.374)",peak
gvsWLQw,6,right_elbow_angle,128.31,"(0.569,0.353)",peak
gvsWLQw,9,left_shoulder_angle,46.06,"(0.764,0.260)",return
gvsWLQw,9,right_shoulder_angle,1.5,"(0.648,0.202)",return
gvsWLQw,9,left_elbow_angle,167.99,"(0.769,0.387)",return
gvsWLQw,9,right_elbow_angle,119.89,"(0.554,0.353)",return
gvsWLQw,11,left_shoulder_angle,44.61,"(0.772,0.264)",end
gvsWLQw,11,right_shoulder_angle,1.0,"(0.640,0.202)",end
gvsWLQw,11,left_elbow_angle,169.5,"(0.770,0.394)",end
gvsWLQw,11,right_elbow_angle,121.39,"(0.552,0.355)",end
