exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
izMnLqz,0,right_shoulder_angle,23.99,"(0.440,0.371)",start
izMnLqz,0,right_elbow_angle,34.98,"(0.478,0.452)",start
izMnLqz,3,right_shoulder_angle,52.41,"(0.418,0.367)",quarter
izMnLqz,3,right_elbow_angle,80.1,"(0.477,0.402)",quarter
izMnLqz,6,right_shoulder_angle,91.56,"(0.417,0.361)",peak
izMnLqz,6,right_elbow_angle,124.49,"(0.476,0.351)",peak
izMnLqz,9,right_shoulder_angle,63.41,"(0.412,0.361)",return
izMnLqz,9,right_elbow_angle,97.04,"(0.477,0.382)",return
izMnLqz,11,right_shoulder_angle,0.94,"(0.407,0.364)",end
izMnLqz,11,right_elbow_angle,34.87,"(0.412,0.394)",end
