exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
jl6uxZV,0,left_ankle_angle,144.98,"(0.498,0.837)",start
jl6uxZV,0,right_knee_angle,177.21,"(0.459,0.699)",start
jl6uxZV,0,right_ankle_angle,156.52,"(0.463,0.881)",start
jl6uxZV,0,left_knee_angle,173.24,"(0.527,0.655)",start
jl6uxZV,0,right_elbow_angle,176.35,"(0.392,0.365)",start
jl6uxZV,3,left_ankle_angle,142.89,"(0.498,0.817)",quarter
jl6uxZV,3,right_knee_angle,172.77,"(0.470,0.672)",quarter
jl6uxZV,3,right_ankle_angle,161.69,"(0.462,0.839)",quarter
jl6uxZV,3,left_knee_angle,176.55,"(0.527,0.657)",quarter
jl6uxZV,3,right_elbow_angle,175.61,"(0.394,0.367)",quarter
jl6uxZV,6,left_ankle_angle,151.15,"(0.506,0.796)",peak
jl6uxZV,6,right_knee_angle,172.93,"(0.476,0.650)",peak
jl6uxZV,6,right_ankle_angle,162.74,"(0.465,0.802)",peak
jl6uxZV,6,left_knee_angle,176.84,"(0.536,0.631)",peak
jl6uxZV,6,right_elbow_angle,174.91,"(0.407,0.332)",peak
jl6uxZV,9,left_ankle_angle,151.71,"(0.506,0.803)",return
jl6uxZV,9,right_knee_angle,172.92,"(0.475,0.662)",return
jl6uxZV,9,right_ankle_angle,157.59,"(0.465,0.826)",return
jl6uxZV,9,left_knee_angle,176.76,"(0.533,0.656)",return
jl6uxZV,9,right_elbow_angle,176.39,"(0.405,0.366)",return
jl6uxZV,11,left_ankle_angle,143.64,"(0.505,0.861)",end
jl6uxZV,11,right_knee_angle,177.41,"(0.466,0.681)",end
jl6uxZV,11,right_ankle_angle,143.47,"(0.462,0.864)",end
jl6uxZV,11,left_knee_angle,179.35,"(0.527,0.684)",end
jl6uxZV,11,right_elbow_angle,176.65,"(0.403,0.375)",end
