exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
jtFKbt5,0,left_shoulder_angle,9.57,"(0.611,0.248)",start
jtFKbt5,0,right_shoulder_angle,14.64,"(0.454,0.251)",start
jtFKbt5,0,left_elbow_angle,155.86,"(0.635,0.378)",start
jtFKbt5,0,right_elbow_angle,150.61,"(0.452,0.397)",start
jtFKbt5,3,left_shoulder_angle,14.25,"(0.608,0.248)",quarter
jtFKbt5,3,right_shoulder_angle,19.29,"(0.448,0.247)",quarter
jtFKbt5,3,left_elbow_angle,48.86,"(0.645,0.380)",quarter
jtFKbt5,3,right_elbow_angle,72.52,"(0.434,0.387)",quarter
jtFKbt5,6,left_shoulder_angle,28.06,"(0.604,0.260)",peak
jtFKbt5,6,right_shoulder_angle,15.45,"(0.446,0.241)",peak
jtFKbt5,6,left_elbow_angle,47.25,"(0.663,0.383)",peak
jtFKbt5,6,right_elbow_angle,33.7,"(0.436,0.384)",peak
jtFKbt5,9,left_shoulder_angle,25.73,"(0.604,0.260)",return
jtFKbt5,9,right_shoulder_angle,19.68,"(0.445,0.239)",return
jtFKbt5,9,left_elbow_angle,48.67,"(0.659,0.383)",return
jtFKbt5,9,right_elbow_angle,32.55,"(0.427,0.366)",return
jtFKbt5,11,left_shoulder_angle,19.56,"(0.608,0.257)",end
jtFKbt5,11,right_shoulder_angle,20.44,"(0.443,0.240)",end
jtFKbt5,11,left_elbow_angle,162.76,"(0.650,0.382)",end
jtFKbt5,11,right_elbow_angle,140.88,"(0.428,0.370)",end
