exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
kXaIn5A,0,right_shoulder_angle,14.0,"(0.378,0.231)",start
kXaIn5A,0,right_elbow_angle,166.72,"(0.373,0.369)",start
kXaIn5A,0,left_shoulder_angle,12.96,"(0.541,0.232)",start
kXaIn5A,0,left_elbow_angle,170.35,"(0.562,0.364)",start
kXaIn5A,6,right_shoulder_angle,11.77,"(0.374,0.225)",quarter
kXaIn5A,6,right_elbow_angle,20.96,"(0.373,0.371)",quarter
kXaIn5A,6,left_shoulder_angle,15.68,"(0.538,0.226)",quarter
kXaIn5A,6,left_elbow_angle,23.7,"(0.564,0.362)",quarter
kXaIn5A,12,right_shoulder_angle,10.12,"(0.377,0.225)",peak
kXaIn5A,12,right_elbow_angle,32.49,"(0.378,0.366)",peak
kXaIn5A,12,left_shoulder_angle,16.4,"(0.537,0.226)",peak
kXaIn5A,12,left_elbow_angle,18.02,"(0.564,0.361)",peak
kXaIn5A,18,right_shoulder_angle,14.9,"(0.377,0.224)",return
kXaIn5A,18,right_elbow_angle,147.79,"(0.369,0.357)",return
kXaIn5A,18,left_shoulder_angle,16.01,"(0.537,0.227)",return
kXaIn5A,18,left_elbow_angle,140.75,"(0.564,0.349)",return
kXaIn5A,23,right_shoulder_angle,15.01,"(0.377,0.224)",end
kXaIn5A,23,right_elbow_angle,159.61,"(0.369,0.358)",end
kXaIn5A,23,left_shoulder_angle,15.85,"(0.539,0.227)",end
kXaIn5A,23,left_elbow_angle,174.31,"(0.566,0.350)",end
