exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
khlHMqs,0,left_shoulder_angle,19.82,"(0.608,0.495)",start
khlHMqs,0,left_elbow_angle,87.61,"(0.491,0.540)",start
khlHMqs,3,left_shoulder_angle,65.78,"(0.604,0.495)",quarter
khlHMqs,3,left_elbow_angle,129.25,"(0.540,0.354)",quarter
khlHMqs,6,left_shoulder_angle,74.05,"(0.600,0.485)",peak
khlHMqs,6,left_elbow_angle,149.51,"(0.556,0.333)",peak
khlHMqs,9,left_shoulder_angle,59.8,"(0.614,0.491)",return
khlHMqs,9,left_elbow_angle,110.27,"(0.547,0.372)",return
khlHMqs,11,left_shoulder_angle,2.43,"(0.624,0.494)",end
khlHMqs,11,left_elbow_angle,106.21,"(0.544,0.488)",end
