exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
kiJ4Z2K,0,left_shoulder_angle,80.53,"(0.453,0.174)",start
kiJ4Z2K,0,right_shoulder_angle,3.52,"(0.382,0.178)",start
kiJ4Z2K,0,torso_angle,1.2324610661501494,,start
kiJ4Z2K,3,left_shoulder_angle,36.8,"(0.368,0.167)",quarter
kiJ4Z2K,3,right_shoulder_angle,93.09,"(0.460,0.159)",quarter
kiJ4Z2K,3,torso_angle,0.22098764334043522,,quarter
kiJ4Z2K,9,left_shoulder_angle,141.26,"(0.351,0.276)",return
kiJ4Z2K,9,right_shoulder_angle,150.0,"(0.425,0.250)",return
kiJ4Z2K,9,torso_angle,0.547437897307547,,return
kiJ4Z2K,11,left_shoulder_angle,162.74,"(0.352,0.215)",end
kiJ4Z2K,11,right_shoulder_angle,168.79,"(0.440,0.212)",end
kiJ4Z2K,11,torso_angle,0.9627969293053648,,end
