exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
kmVVAfu,0,left_elbow_angle,146.06,"(0.626,0.339)",start
kmVVAfu,0,right_shoulder_angle,56.19,"(0.338,0.200)",start
kmVVAfu,0,left_shoulder_angle,18.08,"(0.529,0.154)",start
kmVVAfu,0,right_elbow_angle,174.12,"(0.355,0.407)",start
kmVVAfu,3,left_elbow_angle,106.27,"(0.609,0.325)",quarter
kmVVAfu,3,right_shoulder_angle,61.43,"(0.338,0.200)",quarter
kmVVAfu,3,left_shoulder_angle,21.08,"(0.532,0.165)",quarter
kmVVAfu,3,right_elbow_angle,162.4,"(0.336,0.387)",quarter
kmVVAfu,6,left_elbow_angle,107.25,"(0.577,0.330)",peak
kmVVAfu,6,right_shoulder_angle,61.01,"(0.340,0.201)",peak
kmVVAfu,6,left_shoulder_angle,27.89,"(0.517,0.153)",peak
kmVVAfu,9,left_elbow_angle,122.7,"(0.585,0.334)",return
kmVVAfu,9,right_shoulder_angle,65.05,"(0.341,0.202)",return
kmVVAfu,9,left_shoulder_angle,25.71,"(0.518,0.149)",return
kmVVAfu,11,left_elbow_angle,163.24,"(0.623,0.300)",end
kmVVAfu,11,right_shoulder_angle,58.88,"(0.341,0.203)",end
kmVVAfu,11,left_shoulder_angle,12.61,"(0.531,0.151)",end
