exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
mQ1tBXn,0,left_hip_angle,166.53,"(0.517,0.493)",start
mQ1tBXn,0,left_knee_angle,178.65,"(0.532,0.699)",start
mQ1tBXn,0,right_hip_angle,170.0,"(0.415,0.488)",start
mQ1tBXn,0,right_knee_angle,179.77,"(0.406,0.697)",start
mQ1tBXn,3,left_hip_angle,174.87,"(0.532,0.515)",quarter
mQ1tBXn,3,left_knee_angle,169.46,"(0.522,0.706)",quarter
mQ1tBXn,3,right_hip_angle,166.01,"(0.433,0.493)",quarter
mQ1tBXn,3,right_knee_angle,175.86,"(0.408,0.697)",quarter
mQ1tBXn,6,left_hip_angle,174.31,"(0.577,0.512)",peak
mQ1tBXn,6,left_knee_angle,167.11,"(0.542,0.698)",peak
mQ1tBXn,6,right_hip_angle,174.88,"(0.489,0.493)",peak
mQ1tBXn,6,right_knee_angle,141.16,"(0.479,0.672)",peak
mQ1tBXn,9,left_hip_angle,178.85,"(0.568,0.509)",return
mQ1tBXn,9,left_knee_angle,164.27,"(0.534,0.705)",return
mQ1tBXn,9,right_hip_angle,173.24,"(0.463,0.494)",return
mQ1tBXn,9,right_knee_angle,177.24,"(0.450,0.682)",return
mQ1tBXn,11,left_hip_angle,173.96,"(0.540,0.508)",end
mQ1tBXn,11,left_knee_angle,170.16,"(0.531,0.705)",end
mQ1tBXn,11,right_hip_angle,171.87,"(0.435,0.495)",end
mQ1tBXn,11,right_knee_angle,174.76,"(0.431,0.686)",end
