exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
my33uHU,0,left_elbow_angle,85.39,"(0.692,0.435)",start
my33uHU,0,right_hip_angle,110.42,"(0.539,0.495)",start
my33uHU,0,right_knee_angle,94.05,"(0.359,0.534)",start
my33uHU,0,left_hip_angle,121.85,"(0.616,0.528)",start
my33uHU,0,left_knee_angle,94.6,"(0.423,0.556)",start
my33uHU,3,left_elbow_angle,157.73,"(0.691,0.439)",quarter
my33uHU,3,right_hip_angle,114.91,"(0.534,0.487)",quarter
my33uHU,3,right_knee_angle,161.84,"(0.398,0.525)",quarter
my33uHU,3,left_hip_angle,124.92,"(0.615,0.528)",quarter
my33uHU,3,left_knee_angle,176.44,"(0.484,0.551)",quarter
my33uHU,6,left_elbow_angle,159.99,"(0.692,0.440)",peak
my33uHU,6,right_hip_angle,120.78,"(0.528,0.483)",peak
my33uHU,6,right_knee_angle,177.91,"(0.408,0.525)",peak
my33uHU,6,left_hip_angle,124.12,"(0.611,0.528)",peak
my33uHU,6,left_knee_angle,179.25,"(0.470,0.548)",peak
my33uHU,9,left_elbow_angle,154.94,"(0.692,0.431)",return
my33uHU,9,right_hip_angle,120.68,"(0.527,0.484)",return
my33uHU,9,right_knee_angle,171.53,"(0.406,0.525)",return
my33uHU,9,left_hip_angle,132.62,"(0.611,0.529)",return
my33uHU,9,left_knee_angle,172.71,"(0.475,0.569)",return
my33uHU,11,left_elbow_angle,158.62,"(0.689,0.434)",end
my33uHU,11,right_hip_angle,119.14,"(0.521,0.486)",end
my33uHU,11,right_knee_angle,106.53,"(0.381,0.526)",end
my33uHU,11,left_hip_angle,134.61,"(0.607,0.530)",end
my33uHU,11,left_knee_angle,142.25,"(0.460,0.578)",end
