exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
n5cWCsI,0,right_shoulder_angle,25.62,"(0.519,0.241)",start
n5cWCsI,0,right_elbow_angle,31.79,"(0.506,0.288)",start
n5cWCsI,0,left_shoulder_angle,22.85,"(0.665,0.243)",start
n5cWCsI,3,right_shoulder_angle,85.47,"(0.520,0.235)",quarter
n5cWCsI,3,right_elbow_angle,18.02,"(0.478,0.246)",quarter
n5cWCsI,3,left_shoulder_angle,15.22,"(0.665,0.242)",quarter
n5cWCsI,6,right_shoulder_angle,107.72,"(0.523,0.228)",peak
n5cWCsI,6,right_elbow_angle,12.35,"(0.431,0.213)",peak
n5cWCsI,6,left_shoulder_angle,12.93,"(0.665,0.238)",peak
n5cWCsI,9,right_shoulder_angle,107.31,"(0.523,0.226)",return
n5cWCsI,9,right_elbow_angle,15.71,"(0.444,0.214)",return
n5cWCsI,11,right_shoulder_angle,66.48,"(0.524,0.226)",end
n5cWCsI,11,right_elbow_angle,40.17,"(0.483,0.251)",end
