exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
nFHk9fU,0,right_shoulder_angle,157.65,"(0.543,0.418)",start
nFHk9fU,0,torso_angle,2.8120560929898066,,start
nFHk9fU,3,right_shoulder_angle,157.94,"(0.543,0.428)",quarter
nFHk9fU,3,torso_angle,6.057931473404223,,quarter
nFHk9fU,6,right_shoulder_angle,15.91,"(0.547,0.452)",peak
nFHk9fU,6,torso_angle,8.619021521375453,,peak
nFHk9fU,9,right_shoulder_angle,9.42,"(0.546,0.457)",return
nFHk9fU,9,torso_angle,8.164600184866893,,return
nFHk9fU,11,right_shoulder_angle,162.23,"(0.540,0.434)",end
nFHk9fU,11,torso_angle,7.204361909089553,,end
