exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
nIR4Rwl,0,left_shoulder_angle,82.71,"(0.486,0.455)",start
nIR4Rwl,0,right_shoulder_angle,95.88,"(0.379,0.445)",start
nIR4Rwl,0,left_elbow_angle,10.28,"(0.544,0.479)",start
nIR4Rwl,0,right_elbow_angle,11.4,"(0.304,0.436)",start
nIR4Rwl,3,left_shoulder_angle,16.5,"(0.487,0.453)",quarter
nIR4Rwl,3,right_shoulder_angle,94.84,"(0.375,0.445)",quarter
nIR4Rwl,3,left_elbow_angle,105.3,"(0.478,0.467)",quarter
nIR4Rwl,3,right_elbow_angle,6.76,"(0.273,0.437)",quarter
nIR4Rwl,6,left_shoulder_angle,55.86,"(0.484,0.451)",peak
nIR4Rwl,6,right_shoulder_angle,94.78,"(0.370,0.446)",peak
nIR4Rwl,6,left_elbow_angle,149.57,"(0.454,0.462)",peak
nIR4Rwl,6,right_elbow_angle,3.64,"(0.270,0.440)",peak
nIR4Rwl,9,left_shoulder_angle,39.55,"(0.484,0.450)",return
nIR4Rwl,9,right_shoulder_angle,94.87,"(0.369,0.445)",return
nIR4Rwl,9,left_elbow_angle,124.4,"(0.467,0.464)",return
nIR4Rwl,9,right_elbow_angle,6.05,"(0.268,0.440)",return
nIR4Rwl,11,left_shoulder_angle,96.55,"(0.491,0.450)",end
nIR4Rwl,11,right_shoulder_angle,95.86,"(0.367,0.445)",end
nIR4Rwl,11,left_elbow_angle,4.98,"(0.592,0.461)",end
nIR4Rwl,11,right_elbow_angle,19.97,"(0.259,0.439)",end
