exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
ngPpyRS,0,right_shoulder_angle,57.33,"(0.504,0.407)",start
ngPpyRS,0,right_elbow_angle,55.91,"(0.410,0.494)",start
ngPpyRS,3,right_shoulder_angle,55.98,"(0.506,0.410)",quarter
ngPpyRS,3,right_elbow_angle,42.23,"(0.418,0.494)",quarter
ngPpyRS,6,right_shoulder_angle,137.71,"(0.506,0.397)",peak
ngPpyRS,6,right_elbow_angle,136.27,"(0.446,0.349)",peak
ngPpyRS,9,left_shoulder_angle,6.79,"(0.621,0.389)",return
ngPpyRS,9,right_shoulder_angle,98.13,"(0.506,0.398)",return
ngPpyRS,9,left_elbow_angle,66.22,"(0.618,0.415)",return
ngPpyRS,9,right_elbow_angle,99.01,"(0.445,0.399)",return
ngPpyRS,11,left_shoulder_angle,32.29,"(0.625,0.381)",end
ngPpyRS,11,right_shoulder_angle,49.5,"(0.509,0.398)",end
ngPpyRS,11,left_elbow_angle,32.0,"(0.653,0.426)",end
ngPpyRS,11,right_elbow_angle,50.31,"(0.442,0.476)",end
