exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
nlJsbkW,0,left_shoulder_angle,23.96,"(0.555,0.220)",start
nlJsbkW,0,right_shoulder_angle,18.24,"(0.385,0.221)",start
nlJsbkW,0,left_elbow_angle,169.86,"(0.589,0.337)",start
nlJsbkW,0,right_elbow_angle,175.65,"(0.362,0.340)",start
nlJsbkW,3,left_shoulder_angle,22.86,"(0.547,0.217)",quarter
nlJsbkW,3,right_shoulder_angle,16.29,"(0.385,0.212)",quarter
nlJsbkW,3,left_elbow_angle,171.5,"(0.580,0.328)",quarter
nlJsbkW,3,right_elbow_angle,21.63,"(0.367,0.322)",quarter
nlJsbkW,6,left_shoulder_angle,21.24,"(0.544,0.217)",peak
nlJsbkW,6,right_shoulder_angle,14.43,"(0.379,0.213)",peak
nlJsbkW,6,left_elbow_angle,22.35,"(0.581,0.348)",peak
nlJsbkW,6,right_elbow_angle,20.39,"(0.365,0.347)",peak
nlJsbkW,9,left_shoulder_angle,22.5,"(0.545,0.215)",return
nlJsbkW,9,right_shoulder_angle,13.54,"(0.380,0.211)",return
nlJsbkW,9,left_elbow_angle,85.15,"(0.581,0.336)",return
nlJsbkW,9,right_elbow_angle,20.65,"(0.367,0.347)",return
nlJsbkW,11,left_shoulder_angle,22.66,"(0.546,0.216)",end
nlJsbkW,11,right_shoulder_angle,13.57,"(0.380,0.210)",end
nlJsbkW,11,left_elbow_angle,157.51,"(0.582,0.336)",end
nlJsbkW,11,right_elbow_angle,179.98,"(0.366,0.345)",end
