exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
oLrKqDH,0,left_knee_angle,100.49,"(0.578,0.664)",start
oLrKqDH,0,right_knee_angle,172.4,"(0.562,0.674)",start
oLrKqDH,0,left_hip_angle,170.55,"(0.586,0.475)",start
oLrKqDH,0,right_hip_angle,174.68,"(0.517,0.469)",start
oLrKqDH,3,left_knee_angle,175.12,"(0.590,0.665)",quarter
oLrKqDH,3,right_knee_angle,83.81,"(0.526,0.665)",quarter
oLrKqDH,3,left_hip_angle,171.18,"(0.594,0.474)",quarter
oLrKqDH,3,right_hip_angle,172.76,"(0.522,0.470)",quarter
oLrKqDH,6,left_knee_angle,173.68,"(0.599,0.665)",peak
oLrKqDH,6,right_knee_angle,86.81,"(0.508,0.661)",peak
oLrKqDH,6,left_hip_angle,168.82,"(0.594,0.474)",peak
oLrKqDH,6,right_hip_angle,166.97,"(0.525,0.467)",peak
oLrKqDH,9,left_knee_angle,174.0,"(0.599,0.666)",return
oLrKqDH,9,right_knee_angle,82.91,"(0.515,0.660)",return
oLrKqDH,9,left_hip_angle,170.54,"(0.597,0.475)",return
oLrKqDH,9,right_hip_angle,168.45,"(0.525,0.470)",return
oLrKqDH,11,left_knee_angle,173.16,"(0.598,0.666)",end
oLrKqDH,11,right_knee_angle,113.72,"(0.530,0.661)",end
oLrKqDH,11,left_hip_angle,170.83,"(0.597,0.476)",end
oLrKqDH,11,right_hip_angle,173.72,"(0.523,0.471)",end
