exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
oMypNrz,0,left_hip_angle,163.45,"(0.512,0.417)",start
oMypNrz,0,left_knee_angle,168.38,"(0.303,0.434)",start
oMypNrz,0,right_hip_angle,119.81,"(0.531,0.452)",start
oMypNrz,0,right_knee_angle,121.46,"(0.465,0.624)",start
oMypNrz,3,left_hip_angle,175.76,"(0.494,0.389)",quarter
oMypNrz,3,left_knee_angle,157.26,"(0.301,0.438)",quarter
oMypNrz,3,right_hip_angle,123.29,"(0.521,0.444)",quarter
oMypNrz,3,right_knee_angle,123.92,"(0.449,0.604)",quarter
oMypNrz,6,left_hip_angle,174.21,"(0.488,0.372)",peak
oMypNrz,6,left_knee_angle,144.13,"(0.301,0.453)",peak
oMypNrz,6,right_hip_angle,124.56,"(0.507,0.424)",peak
oMypNrz,6,right_knee_angle,127.5,"(0.435,0.567)",peak
oMypNrz,9,left_hip_angle,175.55,"(0.485,0.374)",return
oMypNrz,9,left_knee_angle,146.05,"(0.301,0.450)",return
oMypNrz,9,right_hip_angle,123.74,"(0.510,0.429)",return
oMypNrz,9,right_knee_angle,126.8,"(0.439,0.580)",return
oMypNrz,11,left_hip_angle,178.32,"(0.488,0.381)",end
oMypNrz,11,left_knee_angle,149.25,"(0.305,0.449)",end
oMypNrz,11,right_hip_angle,116.96,"(0.513,0.433)",end
oMypNrz,11,right_knee_angle,116.98,"(0.458,0.599)",end
