exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
oQRJYkC,0,right_shoulder_angle,52.32,"(0.414,0.231)",start
oQRJYkC,0,left_shoulder_angle,136.36,"(0.582,0.201)",start
oQRJYkC,0,left_elbow_angle,40.88,"(0.689,0.116)",start
oQRJYkC,0,right_elbow_angle,100.62,"(0.324,0.318)",start
oQRJYkC,3,right_shoulder_angle,135.93,"(0.414,0.205)",quarter
oQRJYkC,3,left_shoulder_angle,137.13,"(0.582,0.205)",quarter
oQRJYkC,3,left_elbow_angle,40.49,"(0.685,0.119)",quarter
oQRJYkC,3,right_elbow_angle,35.2,"(0.322,0.129)",quarter
oQRJYkC,6,right_shoulder_angle,138.25,"(0.412,0.204)",peak
oQRJYkC,6,left_shoulder_angle,54.85,"(0.582,0.227)",peak
oQRJYkC,6,left_elbow_angle,92.84,"(0.674,0.312)",peak
oQRJYkC,6,right_elbow_angle,35.59,"(0.317,0.120)",peak
oQRJYkC,9,right_shoulder_angle,137.69,"(0.412,0.199)",return
oQRJYkC,9,left_shoulder_angle,126.31,"(0.581,0.227)",return
oQRJYkC,9,left_elbow_angle,21.86,"(0.675,0.175)",return
oQRJYkC,9,right_elbow_angle,36.72,"(0.317,0.116)",return
oQRJYkC,11,right_shoulder_angle,51.96,"(0.412,0.206)",end
oQRJYkC,11,left_shoulder_angle,137.03,"(0.582,0.217)",end
oQRJYkC,11,left_elbow_angle,34.17,"(0.679,0.135)",end
oQRJYkC,11,right_elbow_angle,94.82,"(0.323,0.294)",end
