exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
qOgPVf6,0,left_shoulder_angle,10.55,"(0.728,0.267)",start
qOgPVf6,0,right_shoulder_angle,52.36,"(0.576,0.192)",start
qOgPVf6,0,left_elbow_angle,177.92,"(0.666,0.424)",start
qOgPVf6,0,right_elbow_angle,161.77,"(0.517,0.305)",start
qOgPVf6,3,left_shoulder_angle,8.62,"(0.725,0.280)",quarter
qOgPVf6,3,right_shoulder_angle,49.44,"(0.576,0.192)",quarter
qOgPVf6,3,left_elbow_angle,151.4,"(0.679,0.399)",quarter
qOgPVf6,3,right_elbow_angle,154.49,"(0.517,0.299)",quarter
qOgPVf6,6,left_shoulder_angle,9.0,"(0.719,0.286)",peak
qOgPVf6,6,right_shoulder_angle,47.53,"(0.578,0.191)",peak
qOgPVf6,6,left_elbow_angle,144.61,"(0.679,0.398)",peak
qOgPVf6,6,right_elbow_angle,137.65,"(0.516,0.298)",peak
qOgPVf6,9,left_shoulder_angle,8.49,"(0.718,0.286)",return
qOgPVf6,9,right_shoulder_angle,48.26,"(0.580,0.191)",return
qOgPVf6,9,left_elbow_angle,142.07,"(0.679,0.396)",return
qOgPVf6,9,right_elbow_angle,150.33,"(0.518,0.292)",return
qOgPVf6,11,left_shoulder_angle,8.24,"(0.718,0.289)",end
qOgPVf6,11,right_shoulder_angle,49.03,"(0.580,0.191)",end
qOgPVf6,11,left_elbow_angle,160.42,"(0.681,0.395)",end
qOgPVf6,11,right_elbow_angle,165.24,"(0.523,0.287)",end
