exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
qPEzJjA,0,left_hip_angle,176.53,"(0.538,0.471)",start
qPEzJjA,0,left_knee_angle,143.56,"(0.529,0.651)",start
qPEzJjA,0,right_hip_angle,175.43,"(0.482,0.470)",start
qPEzJjA,0,right_knee_angle,168.89,"(0.531,0.669)",start
qPEzJjA,6,left_hip_angle,176.95,"(0.544,0.468)",quarter
qPEzJjA,6,left_knee_angle,172.62,"(0.543,0.530)",quarter
qPEzJjA,6,right_hip_angle,177.88,"(0.477,0.470)",quarter
qPEzJjA,6,right_knee_angle,163.42,"(0.499,0.655)",quarter
qPEzJjA,12,left_hip_angle,160.11,"(0.543,0.468)",peak
qPEzJjA,12,left_knee_angle,163.51,"(0.575,0.582)",peak
qPEzJjA,12,right_hip_angle,170.68,"(0.470,0.470)",peak
qPEzJjA,12,right_knee_angle,151.5,"(0.464,0.652)",peak
qPEzJjA,18,left_hip_angle,168.49,"(0.545,0.467)",return
qPEzJjA,18,left_knee_angle,159.65,"(0.564,0.612)",return
qPEzJjA,18,right_hip_angle,175.83,"(0.471,0.470)",return
qPEzJjA,18,right_knee_angle,152.6,"(0.483,0.654)",return
qPEzJjA,23,left_hip_angle,173.68,"(0.545,0.467)",end
qPEzJjA,23,left_knee_angle,149.83,"(0.551,0.626)",end
qPEzJjA,23,right_hip_angle,176.92,"(0.474,0.470)",end
qPEzJjA,23,right_knee_angle,169.84,"(0.511,0.655)",end
