exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
qg2PGl6,0,right_shoulder_angle,15.94,"(0.203,0.630)",start
qg2PGl6,0,right_hip_angle,100.36,"(0.482,0.621)",start
qg2PGl6,0,right_elbow_angle,143.48,"(0.347,0.666)",start
qg2PGl6,0,right_knee_angle,97.5,"(0.518,0.371)",start
qg2PGl6,0,left_hip_angle,90.4,"(0.480,0.559)",start
qg2PGl6,0,left_knee_angle,93.11,"(0.509,0.328)",start
qg2PGl6,3,right_shoulder_angle,6.16,"(0.208,0.630)",quarter
qg2PGl6,3,right_hip_angle,100.34,"(0.476,0.622)",quarter
qg2PGl6,3,right_elbow_angle,133.15,"(0.371,0.607)",quarter
qg2PGl6,3,right_knee_angle,91.25,"(0.520,0.335)",quarter
qg2PGl6,3,left_hip_angle,91.19,"(0.476,0.555)",quarter
qg2PGl6,3,left_knee_angle,79.84,"(0.513,0.272)",quarter
qg2PGl6,6,right_shoulder_angle,6.94,"(0.207,0.619)",peak
qg2PGl6,6,right_hip_angle,119.92,"(0.457,0.559)",peak
qg2PGl6,6,right_elbow_angle,136.59,"(0.354,0.602)",peak
qg2PGl6,6,right_knee_angle,84.56,"(0.541,0.271)",peak
qg2PGl6,6,left_hip_angle,113.32,"(0.442,0.508)",peak
qg2PGl6,6,left_knee_angle,87.47,"(0.526,0.257)",peak
qg2PGl6,9,right_shoulder_angle,2.23,"(0.215,0.628)",return
qg2PGl6,9,right_hip_angle,114.53,"(0.464,0.581)",return
qg2PGl6,9,right_elbow_angle,128.31,"(0.382,0.603)",return
qg2PGl6,9,right_knee_angle,91.29,"(0.531,0.307)",return
qg2PGl6,9,left_hip_angle,112.18,"(0.444,0.511)",return
qg2PGl6,9,left_knee_angle,90.91,"(0.524,0.271)",return
qg2PGl6,11,right_shoulder_angle,4.51,"(0.215,0.627)",end
qg2PGl6,11,right_hip_angle,111.7,"(0.473,0.586)",end
qg2PGl6,11,right_elbow_angle,149.75,"(0.376,0.614)",end
qg2PGl6,11,right_knee_angle,100.57,"(0.526,0.353)",end
qg2PGl6,11,left_hip_angle,102.28,"(0.452,0.512)",end
qg2PGl6,11,left_knee_angle,87.76,"(0.484,0.292)",end
