exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
qi996YS,0,left_hip_angle,176.59,"(0.573,0.612)",start
qi996YS,0,left_knee_angle,178.0,"(0.573,0.749)",start
qi996YS,0,right_hip_angle,165.23,"(0.522,0.612)",start
qi996YS,0,right_knee_angle,177.34,"(0.511,0.763)",start
qi996YS,3,left_hip_angle,159.47,"(0.579,0.639)",quarter
qi996YS,3,left_knee_angle,141.58,"(0.617,0.754)",quarter
qi996YS,3,right_hip_angle,177.48,"(0.520,0.646)",quarter
qi996YS,3,right_knee_angle,168.82,"(0.536,0.776)",quarter
qi996YS,6,left_hip_angle,112.72,"(0.557,0.743)",peak
qi996YS,6,left_knee_angle,87.83,"(0.640,0.793)",peak
qi996YS,6,right_hip_angle,140.68,"(0.494,0.752)",peak
qi996YS,6,right_knee_angle,124.34,"(0.541,0.801)",peak
qi996YS,9,left_hip_angle,128.19,"(0.560,0.727)",return
qi996YS,9,left_knee_angle,101.45,"(0.636,0.796)",return
qi996YS,9,right_hip_angle,155.58,"(0.499,0.736)",return
qi996YS,9,right_knee_angle,134.55,"(0.545,0.826)",return
qi996YS,11,left_hip_angle,151.21,"(0.560,0.654)",end
qi996YS,11,left_knee_angle,133.45,"(0.621,0.783)",end
qi996YS,11,right_hip_angle,175.25,"(0.512,0.659)",end
qi996YS,11,right_knee_angle,158.07,"(0.535,0.805)",end
