exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
qx4fgX7,0,left_hip_angle,169.54,"(0.695,0.500)",start
qx4fgX7,0,left_knee_angle,176.72,"(0.708,0.694)",start
qx4fgX7,0,right_hip_angle,169.94,"(0.618,0.500)",start
qx4fgX7,0,right_knee_angle,84.67,"(0.612,0.708)",start
qx4fgX7,3,left_hip_angle,142.38,"(0.684,0.538)",quarter
qx4fgX7,3,left_knee_angle,125.57,"(0.791,0.718)",quarter
qx4fgX7,3,right_hip_angle,176.12,"(0.601,0.539)",quarter
qx4fgX7,3,right_knee_angle,69.43,"(0.603,0.765)",quarter
qx4fgX7,6,left_hip_angle,122.23,"(0.673,0.654)",peak
qx4fgX7,6,left_knee_angle,95.56,"(0.807,0.765)",peak
qx4fgX7,6,right_hip_angle,172.48,"(0.586,0.668)",peak
qx4fgX7,6,right_knee_angle,51.17,"(0.576,0.858)",peak
qx4fgX7,9,left_hip_angle,137.08,"(0.676,0.588)",return
qx4fgX7,9,left_knee_angle,113.96,"(0.798,0.758)",return
qx4fgX7,9,right_hip_angle,176.36,"(0.592,0.594)",return
qx4fgX7,9,right_knee_angle,57.81,"(0.602,0.799)",return
qx4fgX7,11,left_hip_angle,144.41,"(0.685,0.539)",end
qx4fgX7,11,left_knee_angle,127.62,"(0.791,0.719)",end
qx4fgX7,11,right_hip_angle,173.45,"(0.605,0.549)",end
qx4fgX7,11,right_knee_angle,171.24,"(0.650,0.729)",end
