exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
r29jP7S,0,left_ankle_angle,119.91,"(0.651,0.804)",start
r29jP7S,0,right_elbow_angle,111.71,"(0.427,0.402)",start
r29jP7S,0,right_knee_angle,101.86,"(0.625,0.575)",start
r29jP7S,0,left_knee_angle,88.37,"(0.738,0.578)",start
r29jP7S,0,right_ankle_angle,130.03,"(0.602,0.804)",start
r29jP7S,3,left_ankle_angle,125.85,"(0.665,0.787)",quarter
r29jP7S,3,right_elbow_angle,113.49,"(0.428,0.397)",quarter
r29jP7S,3,right_knee_angle,81.93,"(0.631,0.508)",quarter
r29jP7S,3,left_knee_angle,77.46,"(0.763,0.544)",quarter
r29jP7S,3,right_ankle_angle,134.66,"(0.606,0.789)",quarter
r29jP7S,6,left_ankle_angle,128.69,"(0.680,0.778)",peak
r29jP7S,6,right_elbow_angle,96.01,"(0.422,0.397)",peak
r29jP7S,6,right_knee_angle,87.53,"(0.625,0.523)",peak
r29jP7S,6,left_knee_angle,80.58,"(0.755,0.535)",peak
r29jP7S,6,right_ankle_angle,131.49,"(0.604,0.779)",peak
r29jP7S,9,left_ankle_angle,126.88,"(0.680,0.782)",return
r29jP7S,9,right_elbow_angle,107.05,"(0.427,0.394)",return
r29jP7S,9,right_knee_angle,82.35,"(0.630,0.505)",return
r29jP7S,9,left_knee_angle,78.67,"(0.765,0.532)",return
r29jP7S,9,right_ankle_angle,131.23,"(0.608,0.783)",return
r29jP7S,11,left_ankle_angle,128.42,"(0.677,0.792)",end
r29jP7S,11,right_elbow_angle,115.9,"(0.429,0.393)",end
r29jP7S,11,right_knee_angle,96.46,"(0.627,0.548)",end
r29jP7S,11,left_knee_angle,82.49,"(0.759,0.544)",end
r29jP7S,11,right_ankle_angle,132.07,"(0.608,0.797)",end
