exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
rR0LJzx,0,left_hip_angle,83.27,"(0.445,0.552)",start
rR0LJzx,0,left_knee_angle,117.11,"(0.578,0.685)",start
rR0LJzx,0,right_hip_angle,95.98,"(0.360,0.527)",start
rR0LJzx,0,right_knee_angle,148.19,"(0.436,0.661)",start
rR0LJzx,3,left_hip_angle,79.4,"(0.442,0.545)",quarter
rR0LJzx,3,left_knee_angle,116.84,"(0.576,0.682)",quarter
rR0LJzx,3,right_hip_angle,100.66,"(0.360,0.519)",quarter
rR0LJzx,3,right_knee_angle,145.96,"(0.441,0.661)",quarter
rR0LJzx,6,left_hip_angle,114.27,"(0.472,0.493)",peak
rR0LJzx,6,left_knee_angle,158.31,"(0.531,0.667)",peak
rR0LJzx,6,right_hip_angle,125.56,"(0.415,0.491)",peak
rR0LJzx,6,right_knee_angle,158.7,"(0.457,0.668)",peak
rR0LJzx,9,left_hip_angle,90.59,"(0.449,0.508)",return
rR0LJzx,9,left_knee_angle,139.34,"(0.546,0.670)",return
rR0LJzx,9,right_hip_angle,111.3,"(0.385,0.500)",return
rR0LJzx,9,right_knee_angle,150.09,"(0.454,0.667)",return
rR0LJzx,11,left_hip_angle,82.37,"(0.446,0.542)",end
rR0LJzx,11,left_knee_angle,130.35,"(0.549,0.670)",end
rR0LJzx,11,right_hip_angle,111.1,"(0.380,0.518)",end
rR0LJzx,11,right_knee_angle,156.3,"(0.437,0.670)",end
