exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
sxY5Biu,0,right_shoulder_angle,61.03,"(0.367,0.194)",start
sxY5Biu,0,right_elbow_angle,155.61,"(0.417,0.316)",start
sxY5Biu,3,right_shoulder_angle,50.07,"(0.361,0.192)",quarter
sxY5Biu,3,right_elbow_angle,123.98,"(0.387,0.303)",quarter
sxY5Biu,6,right_shoulder_angle,48.66,"(0.359,0.192)",peak
sxY5Biu,6,right_elbow_angle,89.31,"(0.385,0.306)",peak
sxY5Biu,9,right_shoulder_angle,46.33,"(0.358,0.191)",return
sxY5Biu,9,right_elbow_angle,100.18,"(0.379,0.299)",return
sxY5Biu,11,right_shoulder_angle,51.09,"(0.358,0.189)",end
sxY5Biu,11,right_elbow_angle,145.02,"(0.391,0.307)",end
