exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
tj41Nu6,0,right_knee_angle,98.16,"(0.424,0.511)",start
tj41Nu6,0,right_elbow_angle,139.61,"(0.325,0.637)",start
tj41Nu6,0,right_hip_angle,62.23,"(0.399,0.688)",start
tj41Nu6,3,right_knee_angle,46.88,"(0.495,0.691)",quarter
tj41Nu6,3,right_elbow_angle,162.72,"(0.346,0.653)",quarter
tj41Nu6,3,right_hip_angle,136.29,"(0.398,0.700)",quarter
tj41Nu6,6,right_knee_angle,49.5,"(0.474,0.706)",peak
tj41Nu6,6,right_elbow_angle,156.02,"(0.351,0.654)",peak
tj41Nu6,6,right_hip_angle,143.42,"(0.400,0.705)",peak
tj41Nu6,9,right_knee_angle,55.24,"(0.493,0.706)",return
tj41Nu6,9,right_elbow_angle,165.41,"(0.349,0.654)",return
tj41Nu6,9,right_hip_angle,142.75,"(0.395,0.703)",return
tj41Nu6,11,right_knee_angle,61.96,"(0.491,0.685)",end
tj41Nu6,11,right_elbow_angle,166.05,"(0.347,0.653)",end
tj41Nu6,11,right_hip_angle,138.36,"(0.386,0.692)",end
