exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
uL9CsKm,0,left_ankle_angle,152.92,"(0.510,0.854)",start
uL9CsKm,0,left_knee_angle,178.53,"(0.528,0.661)",start
uL9CsKm,0,right_ankle_angle,170.69,"(0.481,0.849)",start
uL9CsKm,0,right_knee_angle,176.08,"(0.461,0.664)",start
uL9CsKm,3,left_ankle_angle,167.16,"(0.509,0.857)",quarter
uL9CsKm,3,left_knee_angle,178.59,"(0.527,0.663)",quarter
uL9CsKm,3,right_ankle_angle,158.86,"(0.480,0.853)",quarter
uL9CsKm,3,right_knee_angle,175.6,"(0.460,0.664)",quarter
uL9CsKm,6,left_ankle_angle,167.67,"(0.509,0.856)",peak
uL9CsKm,6,left_knee_angle,178.48,"(0.527,0.666)",peak
uL9CsKm,6,right_ankle_angle,157.48,"(0.479,0.854)",peak
uL9CsKm,6,right_knee_angle,175.62,"(0.459,0.664)",peak
uL9CsKm,9,left_ankle_angle,168.66,"(0.509,0.857)",return
uL9CsKm,9,left_knee_angle,178.6,"(0.527,0.667)",return
uL9CsKm,9,right_ankle_angle,156.41,"(0.479,0.856)",return
uL9CsKm,9,right_knee_angle,175.4,"(0.459,0.664)",return
uL9CsKm,11,left_ankle_angle,166.75,"(0.509,0.856)",end
uL9CsKm,11,left_knee_angle,178.64,"(0.527,0.667)",end
uL9CsKm,11,right_ankle_angle,159.86,"(0.479,0.856)",end
uL9CsKm,11,right_knee_angle,175.53,"(0.459,0.663)",end
