exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
v1qBec9,0,left_shoulder_angle,172.58,"(0.422,0.441)",start
v1qBec9,0,right_shoulder_angle,174.44,"(0.436,0.629)",start
v1qBec9,0,left_elbow_angle,129.35,"(0.491,0.352)",start
v1qBec9,0,right_elbow_angle,134.54,"(0.486,0.637)",start
v1qBec9,3,left_shoulder_angle,117.82,"(0.502,0.512)",quarter
v1qBec9,3,right_shoulder_angle,59.25,"(0.417,0.423)",quarter
v1qBec9,3,left_elbow_angle,170.97,"(0.535,0.506)",quarter
v1qBec9,3,right_elbow_angle,30.76,"(0.408,0.412)",quarter
v1qBec9,6,left_shoulder_angle,64.79,"(0.541,0.493)",peak
v1qBec9,6,right_shoulder_angle,49.43,"(0.492,0.448)",peak
v1qBec9,6,left_elbow_angle,31.55,"(0.533,0.437)",peak
v1qBec9,6,right_elbow_angle,44.26,"(0.461,0.469)",peak
v1qBec9,9,left_shoulder_angle,3.82,"(0.433,0.481)",return
v1qBec9,9,right_shoulder_angle,34.62,"(0.375,0.508)",return
v1qBec9,9,left_elbow_angle,107.61,"(0.482,0.417)",return
v1qBec9,9,right_elbow_angle,171.49,"(0.438,0.509)",return
v1qBec9,11,left_shoulder_angle,18.96,"(0.423,0.454)",end
v1qBec9,11,right_shoulder_angle,22.84,"(0.403,0.524)",end
v1qBec9,11,left_elbow_angle,137.88,"(0.486,0.408)",end
v1qBec9,11,right_elbow_angle,149.54,"(0.514,0.524)",end
