exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
v6EKk0O,0,left_hip_angle,113.98,"(0.509,0.459)",start
v6EKk0O,0,left_knee_angle,104.2,"(0.652,0.537)",start
v6EKk0O,0,right_hip_angle,176.95,"(0.446,0.468)",start
v6EKk0O,0,right_knee_angle,162.11,"(0.462,0.671)",start
v6EKk0O,6,left_hip_angle,149.43,"(0.463,0.518)",quarter
v6EKk0O,6,left_knee_angle,130.2,"(0.531,0.684)",quarter
v6EKk0O,6,right_hip_angle,152.69,"(0.400,0.512)",quarter
v6EKk0O,6,right_knee_angle,133.56,"(0.484,0.677)",quarter
v6EKk0O,12,left_hip_angle,159.51,"(0.469,0.494)",peak
v6EKk0O,12,left_knee_angle,154.32,"(0.494,0.657)",peak
v6EKk0O,12,right_hip_angle,106.72,"(0.412,0.487)",peak
v6EKk0O,12,right_knee_angle,93.29,"(0.603,0.543)",peak
v6EKk0O,18,left_hip_angle,150.91,"(0.461,0.526)",return
v6EKk0O,18,left_knee_angle,128.84,"(0.527,0.691)",return
v6EKk0O,18,right_hip_angle,127.86,"(0.398,0.523)",return
v6EKk0O,18,right_knee_angle,83.78,"(0.601,0.671)",return
v6EKk0O,23,left_hip_angle,111.22,"(0.478,0.493)",end
v6EKk0O,23,left_knee_angle,99.25,"(0.631,0.566)",end
v6EKk0O,23,right_hip_angle,134.21,"(0.416,0.504)",end
v6EKk0O,23,right_knee_angle,101.69,"(0.566,0.678)",end
