exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
vIICElP,0,left_hip_angle,173.31,"(0.498,0.499)",start
vIICElP,0,left_knee_angle,174.61,"(0.310,0.565)",start
vIICElP,0,right_hip_angle,173.1,"(0.552,0.528)",start
vIICElP,0,right_knee_angle,100.82,"(0.359,0.547)",start
vIICElP,3,left_hip_angle,173.85,"(0.482,0.499)",quarter
vIICElP,3,left_knee_angle,179.1,"(0.311,0.553)",quarter
vIICElP,3,right_hip_angle,173.29,"(0.544,0.526)",quarter
vIICElP,3,right_knee_angle,102.67,"(0.365,0.543)",quarter
vIICElP,6,left_hip_angle,176.18,"(0.484,0.493)",peak
vIICElP,6,left_knee_angle,179.95,"(0.308,0.553)",peak
vIICElP,6,right_hip_angle,175.79,"(0.555,0.536)",peak
vIICElP,6,right_knee_angle,167.45,"(0.369,0.568)",peak
vIICElP,9,left_hip_angle,176.55,"(0.480,0.489)",return
vIICElP,9,left_knee_angle,177.29,"(0.312,0.545)",return
vIICElP,9,right_hip_angle,174.83,"(0.553,0.536)",return
vIICElP,9,right_knee_angle,137.89,"(0.373,0.565)",return
vIICElP,11,left_hip_angle,178.36,"(0.484,0.487)",end
vIICElP,11,left_knee_angle,178.34,"(0.314,0.545)",end
vIICElP,11,right_hip_angle,174.5,"(0.554,0.536)",end
vIICElP,11,right_knee_angle,107.84,"(0.372,0.563)",end
