exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
vM5YS2g,0,right_knee_angle,155.39,"(0.498,0.532)",start
vM5YS2g,0,left_knee_angle,16.23,"(0.487,0.592)",start
vM5YS2g,0,right_elbow_angle,46.3,"(0.715,0.624)",start
vM5YS2g,0,left_hip_angle,123.94,"(0.558,0.516)",start
vM5YS2g,0,right_hip_angle,145.3,"(0.581,0.509)",start
vM5YS2g,6,right_knee_angle,62.51,"(0.492,0.475)",peak
vM5YS2g,6,left_knee_angle,178.8,"(0.364,0.418)",peak
vM5YS2g,6,right_elbow_angle,169.54,"(0.597,0.551)",peak
vM5YS2g,6,left_hip_angle,154.35,"(0.481,0.488)",peak
vM5YS2g,6,right_hip_angle,128.5,"(0.508,0.507)",peak
