exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
vR1vold,0,left_hip_angle,166.6,"(0.516,0.460)",start
vR1vold,0,left_knee_angle,172.77,"(0.542,0.649)",start
vR1vold,0,right_hip_angle,172.1,"(0.438,0.461)",start
vR1vold,0,right_knee_angle,171.37,"(0.439,0.680)",start
vR1vold,3,left_hip_angle,156.53,"(0.525,0.482)",quarter
vR1vold,3,left_knee_angle,145.7,"(0.594,0.659)",quarter
vR1vold,3,right_hip_angle,174.67,"(0.441,0.487)",quarter
vR1vold,3,right_knee_angle,172.78,"(0.445,0.667)",quarter
vR1vold,6,left_hip_angle,125.85,"(0.525,0.619)",peak
vR1vold,6,left_knee_angle,112.94,"(0.615,0.707)",peak
vR1vold,6,right_hip_angle,160.35,"(0.444,0.628)",peak
vR1vold,6,right_knee_angle,141.87,"(0.476,0.714)",peak
vR1vold,9,left_hip_angle,103.59,"(0.518,0.663)",return
vR1vold,9,left_knee_angle,89.0,"(0.620,0.705)",return
vR1vold,9,right_hip_angle,141.59,"(0.439,0.672)",return
vR1vold,9,right_knee_angle,125.54,"(0.472,0.713)",return
vR1vold,11,left_hip_angle,134.43,"(0.518,0.580)",end
vR1vold,11,left_knee_angle,118.25,"(0.611,0.678)",end
vR1vold,11,right_hip_angle,165.37,"(0.468,0.584)",end
vR1vold,11,right_knee_angle,148.58,"(0.493,0.698)",end
